[2026-04-15 14:33:18 CLIP_DINOiser_fast_backbone_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO per class results:
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 10.78 | 11.45 |
|     bicycle      | 48.86 | 85.23 |
|       car        | 45.44 |  70.5 |
|    motorcycle    | 66.16 | 89.57 |
|     airplane     | 43.82 | 90.22 |
|       bus        | 63.13 | 84.57 |
|      train       |  58.6 | 70.28 |
|      truck       | 32.77 | 51.62 |
|       boat       | 41.87 | 76.32 |
|  traffic light   | 19.98 | 73.39 |
|   fire hydrant   | 56.79 | 82.78 |
|    stop sign     | 55.35 | 92.58 |
|  parking meter   | 25.65 | 35.08 |
|      bench       | 29.32 | 33.79 |
|       bird       | 52.31 | 82.72 |
|       cat        | 66.71 | 88.87 |
|       dog        | 59.42 | 81.61 |
|      horse       |  56.8 | 89.25 |
|      sheep       | 72.08 | 90.37 |
|       cow        | 62.55 | 83.29 |
|     elephant     | 77.77 | 93.15 |
|       bear       | 74.78 | 90.89 |
|      zebra       | 76.37 | 93.11 |
|     giraffe      | 48.89 | 91.47 |
|     backpack     |  6.05 | 59.29 |
|     umbrella     | 42.97 | 71.36 |
|     handbag      |  8.92 | 15.41 |
|       tie        |  0.74 | 45.18 |
|     suitcase     |  46.7 |  55.5 |
|     frisbee      | 13.63 | 46.49 |
|       skis       |  7.26 |  44.7 |
|    snowboard     | 10.74 | 60.42 |
|   sports ball    |  3.82 | 50.76 |
|       kite       | 30.08 | 68.28 |
|   baseball bat   | 10.11 | 13.36 |
|  baseball glove  |  6.56 | 73.63 |
|    skateboard    | 16.85 |  60.5 |
|    surfboard     | 26.87 | 77.58 |
|  tennis racket   |  8.72 | 66.97 |
|      bottle      | 24.66 | 55.44 |
|    wine glass    | 28.09 | 74.05 |
|       cup        | 16.14 | 21.36 |
|       fork       | 12.36 |  15.6 |
|      knife       |  3.57 |  9.0  |
|      spoon       |  18.8 | 35.18 |
|       bowl       | 12.25 | 15.12 |
|      banana      | 45.48 | 73.53 |
|      apple       | 14.58 | 17.82 |
|     sandwich     | 21.45 | 28.81 |
|      orange      | 22.07 | 26.52 |
|     broccoli     | 21.17 | 23.35 |
|      carrot      | 32.47 | 34.77 |
|     hot dog      | 36.21 |  54.5 |
|      pizza       | 50.73 | 64.37 |
|      donut       | 58.58 | 68.13 |
|       cake       | 46.33 | 67.13 |
|      chair       | 18.47 | 20.72 |
|      couch       | 43.67 | 55.34 |
|   potted plant   | 11.84 | 19.63 |
