[2026-04-15 15:37:53 CLIP_DINOiser_fast_intermediate_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO per class results:
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.33 |  12.9 |
|     bicycle      | 53.57 | 83.32 |
|       car        | 43.36 | 74.71 |
|    motorcycle    | 66.72 | 87.75 |
|     airplane     | 42.58 |  88.4 |
|       bus        | 63.09 | 84.75 |
|      train       | 55.92 | 70.15 |
|      truck       | 38.44 | 47.88 |
|       boat       | 32.49 | 80.56 |
|  traffic light   | 21.78 | 68.64 |
|   fire hydrant   | 56.14 | 82.36 |
|    stop sign     | 60.04 | 91.16 |
|  parking meter   | 27.74 | 37.27 |
|      bench       | 35.74 |  45.2 |
|       bird       | 54.58 | 86.01 |
|       cat        | 68.12 |  87.4 |
|       dog        | 59.01 | 80.29 |
|      horse       |  61.7 | 86.25 |
|      sheep       | 74.34 | 87.41 |
|       cow        | 67.91 | 87.26 |
|     elephant     | 80.56 | 91.91 |
|       bear       |  77.3 | 90.79 |
|      zebra       | 77.24 | 94.28 |
|     giraffe      | 43.52 | 89.07 |
|     backpack     |  8.03 |  56.8 |
|     umbrella     | 32.65 | 69.98 |
|     handbag      |  8.22 | 10.43 |
|       tie        |  1.07 |  52.8 |
|     suitcase     | 45.38 | 51.75 |
|     frisbee      | 11.33 | 49.83 |
|       skis       |  8.36 | 49.44 |
|    snowboard     | 12.71 | 60.08 |
|   sports ball    |  3.38 |  56.4 |
|       kite       | 29.07 | 51.12 |
|   baseball bat   |  5.63 |  8.05 |
|  baseball glove  | 22.66 | 42.39 |
|    skateboard    | 17.89 | 53.58 |
|    surfboard     | 29.44 | 71.62 |
|  tennis racket   |  7.27 | 48.35 |
|      bottle      | 25.35 | 51.78 |
|    wine glass    | 30.74 | 69.93 |
|       cup        | 17.31 |  24.7 |
|       fork       | 13.89 | 15.57 |
|      knife       |  4.83 |  6.25 |
|      spoon       |  18.1 | 32.52 |
|       bowl       | 12.64 | 16.45 |
|      banana      |  38.1 | 47.97 |
|      apple       | 11.61 | 12.89 |
|     sandwich     | 14.27 |  15.4 |
|      orange      |  24.0 | 27.46 |
|     broccoli     |  6.11 |  6.44 |
|      carrot      | 24.85 | 25.61 |
|     hot dog      | 34.91 | 40.77 |
|      pizza       | 43.38 | 51.79 |
|      donut       | 51.02 | 55.65 |
|       cake       |  46.0 | 65.57 |
|      chair       | 14.79 | 16.02 |
|      couch       |  45.5 | 54.99 |
|   potted plant   |  9.0  | 11.07 |
|       bed        | 48.45 | 60.23 |
|   dining table   | 10.98 | 12.01 |
|      toilet      |  33.4 | 75.76 |
|        tv        | 28.53 |  36.2 |
|      laptop      | 43.64 | 64.21 |
|      mouse       | 19.24 | 42.62 |
|      remote      | 14.95 | 67.31 |
|     keyboard     | 38.71 | 58.28 |
|    cell phone    | 32.47 | 56.41 |
|    microwave     | 22.43 | 27.59 |
|       oven       | 24.75 | 68.87 |
|     toaster      | 20.56 | 51.93 |
|       sink       |  31.0 | 54.04 |
|   refrigerator   |  49.2 | 61.72 |
|       book       | 26.75 | 30.94 |
|      clock       | 44.35 | 82.76 |
|       vase       | 28.65 | 54.09 |
|     scissors     | 51.37 | 62.42 |
|    teddy bear    | 63.35 | 77.54 |
|    hair drier    |  1.52 | 13.75 |
|    toothbrush    | 24.02 | 53.58 |
|      banner      |  2.11 | 74.16 |
|     blanket      |  6.58 | 19.17 |
|      branch      |  6.3  | 38.66 |
|      bridge      | 24.75 | 39.67 |
|  building-other  | 30.84 | 56.46 |
|       bush       | 10.97 | 32.22 |
|     cabinet      | 24.59 | 35.22 |
|       cage       |  5.42 |  6.28 |
|    cardboard     | 22.26 | 25.93 |
|      carpet      | 35.84 | 47.74 |
|  ceiling-other   | 27.53 | 42.46 |
|   ceiling-tile   |  7.85 | 23.92 |
|      cloth       |  0.3  |  0.97 |
|     clothes      |  3.92 | 28.12 |
|      clouds      | 32.08 | 35.92 |
|     counter      | 10.58 | 37.14 |
|     cupboard     |  4.44 |  21.3 |
|     curtain      | 33.56 | 40.82 |
|    desk-stuff    | 21.59 |  35.3 |
|       dirt       | 13.65 |  15.7 |
|    door-stuff    | 14.07 | 19.79 |
|      fence       | 26.97 | 47.95 |
