Class,baseline_old_IoU,baseline_new_IoU,full50k_IoU,cand_progress_top01_old_delta_vs_baseline_old,cand_progress_top02_old_delta_vs_baseline_old,cand_progress_top03_old_delta_vs_baseline_old,cand_progress_top04_old_delta_vs_baseline_old,cand_progress_top05_old_delta_vs_baseline_old,cand_progress_top06_old_delta_vs_baseline_old,cand_progress_top07_old_delta_vs_baseline_old,cand_progress_top08_old_delta_vs_baseline_old,cand_progress_top09_old_delta_vs_baseline_old,cand_progress_top10_old_delta_vs_baseline_old,cand_progress_top01_new_delta_vs_baseline_new,cand_progress_top02_new_delta_vs_baseline_new,cand_progress_top03_new_delta_vs_baseline_new,cand_progress_top04_new_delta_vs_baseline_new,cand_progress_top05_new_delta_vs_baseline_new,cand_progress_top06_new_delta_vs_baseline_new,cand_progress_top07_new_delta_vs_baseline_new,cand_progress_top08_new_delta_vs_baseline_new,cand_progress_top09_new_delta_vs_baseline_new,cand_progress_top10_new_delta_vs_baseline_new
airplane,65.65,65.65,42.09000015258789,-0.9200000000000017,0.6799999999999926,0.7999999999999972,0.9699999999999989,0.009999999999990905,0.23999999999999488,0.8299999999999983,0.14999999999999147,0.47999999999998977,1.0799999999999983,0.3999999999999915,-0.5900000000000034,1.3999999999999915,-0.23000000000000398,1.2199999999999989,1.2399999999999949,1.3599999999999994,0.8099999999999881,1.1199999999999903,0.7800000000000011
apple,0.0,0.0,12.890000343322756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,1.6,1.6,8.039999961853027,0.16999999999999993,0.10999999999999988,0.3699999999999999,0.2799999999999998,0.06999999999999984,-0.010000000000000009,0.09999999999999987,0.41999999999999993,-0.030000000000000027,0.07999999999999985,0.27,0.1299999999999999,-0.10000000000000009,0.22999999999999998,-0.16000000000000014,-0.09000000000000008,0.17999999999999994,0.17999999999999994,0.6000000000000001,-0.16000000000000014
banana,16.37,16.37,44.189998626708984,0.4299999999999997,2.2699999999999996,2.5599999999999987,1.8999999999999986,1.5,1.1899999999999977,0.9499999999999993,1.1899999999999977,0.7899999999999991,0.8499999999999979,1.509999999999998,3.379999999999999,1.3399999999999999,-0.13000000000000256,2.7799999999999976,3.539999999999999,2.8900000000000006,2.2300000000000004,0.5299999999999976,1.1199999999999974
banner,2.17,2.17,2.190000057220459,0.040000000000000036,0.0,0.0,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.010000000000000231,-0.009999999999999787,0.020000000000000018,0.0,0.020000000000000018,-0.009999999999999787,0.0,0.0,0.0,0.010000000000000231,0.0,0.0,0.010000000000000231
baseball bat,0.0,0.0,5.079999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball glove,0.0,0.0,19.049999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,84.14,84.14,78.13999938964844,0.12999999999999545,-0.04000000000000625,-0.1599999999999966,0.04999999999999716,0.0,0.06999999999999318,-0.10999999999999943,-0.23999999999999488,-0.10999999999999943,0.010000000000005116,0.04000000000000625,0.06999999999999318,-0.010000000000005116,-0.01999999999999602,-0.09999999999999432,-0.12000000000000455,-0.10999999999999943,0.0799999999999983,-0.04000000000000625,0.060000000000002274
bed,36.68,36.68,48.75,0.14999999999999858,0.21000000000000085,-0.060000000000002274,0.21999999999999886,0.3200000000000003,0.1600000000000037,0.22999999999999687,-0.1700000000000017,0.5300000000000011,0.10000000000000142,-0.5499999999999972,-0.07000000000000028,-0.6799999999999997,-0.14999999999999858,-0.28000000000000114,-0.3100000000000023,-0.07000000000000028,0.030000000000001137,0.04999999999999716,0.29999999999999716
bench,23.1,23.1,35.869998931884766,0.4599999999999973,-0.7000000000000028,-0.46000000000000085,-1.0600000000000023,-0.990000000000002,-0.740000000000002,-1.240000000000002,-0.39000000000000057,-0.6300000000000026,-0.1700000000000017,-0.6400000000000006,0.33999999999999986,0.07000000000000028,-0.22000000000000242,0.1999999999999993,-0.120000000000001,-0.6400000000000006,-0.14000000000000057,-0.38000000000000256,-0.610000000000003
bicycle,44.28,44.28,54.88999938964844,-0.23000000000000398,-0.21000000000000085,-0.3400000000000034,-0.030000000000001137,0.00999999999999801,-0.23000000000000398,0.10999999999999943,-0.25,0.240000000000002,-0.03999999999999915,-0.1600000000000037,-0.20000000000000284,-0.00999999999999801,0.0,0.00999999999999801,0.10999999999999943,-0.07000000000000028,0.12999999999999545,0.28000000000000114,-0.3400000000000034
bird,46.63,46.63,57.040000915527344,-0.1700000000000017,-0.7800000000000011,0.8699999999999974,-0.10999999999999943,-0.7600000000000051,-0.25,-0.240000000000002,-2.1200000000000045,0.36999999999999744,0.8499999999999943,-0.44000000000000483,-0.45000000000000284,0.22999999999999687,-0.480000000000004,-0.4200000000000017,-0.5800000000000054,-0.07000000000000028,0.23999999999999488,-0.07000000000000028,-0.37000000000000455
blanket,7.13,7.13,6.300000190734862,-1.7699999999999996,-0.5099999999999998,-0.6699999999999999,-0.7400000000000002,-1.6899999999999995,-1.3099999999999996,-1.12,-0.1299999999999999,-0.9199999999999999,-1.4500000000000002,-0.9500000000000002,-0.6600000000000001,-1.38,-0.8899999999999997,-0.6200000000000001,-0.9500000000000002,-1.2000000000000002,-1.2299999999999995,-0.6499999999999995,-1.0499999999999998
boat,52.59,52.59,32.54999923706055,-0.5800000000000054,-0.39000000000000057,-0.6900000000000048,-0.28000000000000114,0.00999999999999801,-0.29000000000000625,-0.6100000000000065,-0.14000000000000057,-0.4300000000000068,-0.2600000000000051,-0.38000000000000256,-0.060000000000002274,-0.1600000000000037,0.14999999999999858,-0.39000000000000057,-0.37000000000000455,-0.3500000000000014,-0.21000000000000085,-0.3300000000000054,0.11999999999999744
book,37.26,37.26,25.719999313354492,-0.30999999999999517,-0.4799999999999969,-0.46000000000000085,-1.6799999999999997,0.8000000000000043,-0.01999999999999602,-0.3299999999999983,-0.4799999999999969,-0.46999999999999886,-0.00999999999999801,0.35999999999999943,-0.10999999999999943,0.6400000000000006,-0.17999999999999972,0.44000000000000483,0.28000000000000114,0.240000000000002,-0.44999999999999574,-0.12999999999999545,0.46999999999999886
bottle,36.42,36.42,23.799999237060547,-0.5200000000000031,-0.480000000000004,-0.6400000000000006,-0.1600000000000037,-0.12000000000000455,-0.09000000000000341,-0.07000000000000028,-1.0399999999999991,0.11999999999999744,-0.060000000000002274,0.259999999999998,-0.9200000000000017,0.0799999999999983,0.0799999999999983,-0.3500000000000014,-0.23000000000000398,0.1599999999999966,0.11999999999999744,0.07000000000000028,-0.12000000000000455
bowl,7.84,7.84,14.27000045776367,-0.040000000000000036,0.5199999999999996,0.10000000000000053,0.5199999999999996,0.34999999999999964,0.5099999999999998,0.2900000000000009,0.46000000000000085,-0.009999999999999787,0.4499999999999993,0.4800000000000004,0.5600000000000005,0.3200000000000003,0.33000000000000007,0.34999999999999964,0.40000000000000036,0.23000000000000043,0.23000000000000043,0.07000000000000028,0.5
branch,1.68,1.68,6.2899999618530265,-0.1399999999999999,-0.25,-0.5899999999999999,-0.47,-0.47,-0.3899999999999999,-0.7,-0.49,-0.6199999999999999,-0.05999999999999983,-0.42999999999999994,-0.55,-0.5999999999999999,-0.5599999999999998,-0.48,-0.44999999999999996,-0.4099999999999999,-0.51,-0.54,-0.54
bridge,24.83,24.83,24.739999771118164,0.3100000000000023,-0.0799999999999983,0.0400000000000027,-0.16999999999999815,-0.03999999999999915,0.020000000000003126,-0.03999999999999915,0.5100000000000016,-0.13999999999999702,0.15000000000000213,-0.08999999999999986,-0.14999999999999858,-0.0799999999999983,-0.23999999999999844,0.060000000000002274,0.18000000000000327,0.240000000000002,0.05000000000000071,0.16000000000000014,0.030000000000001137
broccoli,0.0,0.0,25.479999542236325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
building-other,22.31,22.31,30.09000015258789,0.14000000000000057,0.019999999999999574,-0.0799999999999983,-0.03999999999999915,0.10000000000000142,-0.029999999999997584,0.05000000000000071,-0.03999999999999915,-0.03999999999999915,0.010000000000001563,0.1700000000000017,0.120000000000001,0.0,-0.04999999999999716,0.26000000000000156,0.2900000000000027,0.20000000000000284,0.14000000000000057,0.26000000000000156,0.25
bus,66.1,66.1,61.70000076293945,0.13000000000000966,0.12000000000000455,0.23000000000000398,0.20000000000000284,0.46000000000000796,0.1600000000000108,-0.0799999999999983,0.3300000000000125,-0.030000000000001137,1.1200000000000045,0.5600000000000023,0.1700000000000017,0.7000000000000028,-0.06999999999999318,-0.269999999999996,-0.1699999999999875,-0.4199999999999875,-0.4899999999999949,-0.6199999999999903,0.05000000000001137
bush,4.47,4.47,11.699999809265137,-0.0699999999999994,0.010000000000000675,0.1200000000000001,-0.1299999999999999,-0.20000000000000018,-0.09999999999999964,-0.2599999999999998,-0.1299999999999999,-0.21999999999999975,0.04999999999999982,-0.009999999999999787,-0.1299999999999999,0.1200000000000001,0.03000000000000025,-0.05999999999999961,-0.0699999999999994,-0.1299999999999999,-0.16999999999999993,-0.02999999999999936,-0.20999999999999996
cabinet,29.77,29.77,25.1299991607666,-0.28000000000000114,-0.41000000000000014,-0.5700000000000003,-0.05999999999999872,-0.4400000000000013,-0.5599999999999987,-0.05999999999999872,-0.19000000000000128,-0.3000000000000007,0.07000000000000028,-0.14000000000000057,0.129999999999999,-0.00999999999999801,0.28000000000000114,0.03999999999999915,0.05000000000000071,-0.1999999999999993,-0.23999999999999844,-0.25,-0.41999999999999815
cage,20.83,20.83,5.429999828338623,-0.10999999999999943,-0.2099999999999973,-0.04999999999999716,-0.13999999999999702,-0.2099999999999973,-0.18999999999999773,-0.21999999999999886,-0.019999999999999574,-0.23999999999999844,-0.31999999999999673,-0.28999999999999915,-0.14999999999999858,-0.35999999999999943,-0.1999999999999993,-0.16999999999999815,-0.16999999999999815,-0.16999999999999815,-0.0799999999999983,-0.03999999999999915,-0.11999999999999744
cake,16.68,16.68,44.29999923706055,1.620000000000001,2.6799999999999997,0.10000000000000142,-0.08999999999999986,1.0300000000000011,1.7899999999999991,1.6999999999999993,0.6600000000000001,1.2699999999999996,0.9499999999999993,-0.05000000000000071,0.5199999999999996,-0.5899999999999999,-0.3299999999999983,0.8500000000000014,0.7800000000000011,0.21000000000000085,0.7100000000000009,-0.030000000000001137,0.28000000000000114
car,38.41,38.41,43.38999938964844,0.3300000000000054,0.3400000000000034,0.030000000000001137,0.23000000000000398,0.480000000000004,0.25,0.740000000000002,0.2700000000000031,0.39000000000000057,0.15000000000000568,-0.529999999999994,-0.11999999999999744,-0.4299999999999997,-0.14999999999999858,0.23000000000000398,0.3500000000000014,0.0,-0.6999999999999957,-0.37999999999999545,0.05000000000000426
