Class,baseline_old_IoU,baseline_old_Acc,baseline_new_IoU,baseline_new_Acc,full50k_IoU,full50k_Acc,cand_progress_top01_old_IoU,cand_progress_top01_old_Acc,cand_progress_top02_old_IoU,cand_progress_top02_old_Acc,cand_progress_top03_old_IoU,cand_progress_top03_old_Acc,cand_progress_top04_old_IoU,cand_progress_top04_old_Acc,cand_progress_top05_old_IoU,cand_progress_top05_old_Acc,cand_progress_top06_old_IoU,cand_progress_top06_old_Acc,cand_progress_top07_old_IoU,cand_progress_top07_old_Acc,cand_progress_top08_old_IoU,cand_progress_top08_old_Acc,cand_progress_top09_old_IoU,cand_progress_top09_old_Acc,cand_progress_top10_old_IoU,cand_progress_top10_old_Acc,cand_progress_top01_new_IoU,cand_progress_top01_new_Acc,cand_progress_top02_new_IoU,cand_progress_top02_new_Acc,cand_progress_top03_new_IoU,cand_progress_top03_new_Acc,cand_progress_top04_new_IoU,cand_progress_top04_new_Acc,cand_progress_top05_new_IoU,cand_progress_top05_new_Acc,cand_progress_top06_new_IoU,cand_progress_top06_new_Acc,cand_progress_top07_new_IoU,cand_progress_top07_new_Acc,cand_progress_top08_new_IoU,cand_progress_top08_new_Acc,cand_progress_top09_new_IoU,cand_progress_top09_new_Acc,cand_progress_top10_new_IoU,cand_progress_top10_new_Acc
airplane,65.65,97.04,65.65,97.04,42.09000015258789,87.7300033569336,64.73,97.19,66.33,96.96,66.45,96.59,66.62,96.75,65.66,96.83,65.89,96.78,66.48,96.65,65.8,96.69,66.13,96.89,66.73,96.62,66.05,96.61,65.06,97.02,67.05,96.53,65.42,96.81,66.87,96.6,66.89,96.57,67.01,96.37,66.46,96.99,66.77,96.42,66.43,96.71
apple,0.0,0.0,0.0,0.0,12.890000343322756,14.409999847412108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backpack,1.6,10.93,1.6,10.93,8.039999961853027,59.209999084472656,1.77,12.42,1.71,12.23,1.97,14.16,1.88,13.21,1.67,11.86,1.59,11.11,1.7,11.85,2.02,14.44,1.57,10.75,1.68,11.52,1.87,12.87,1.73,12.36,1.5,10.26,1.83,12.83,1.44,10.02,1.51,10.5,1.78,12.49,1.78,12.53,2.2,15.64,1.44,10.08
banana,16.37,16.71,16.37,16.71,44.189998626708984,57.400001525878906,16.8,17.24,18.64,19.06,18.93,19.44,18.27,18.65,17.87,18.29,17.56,17.97,17.32,17.74,17.56,17.99,17.16,17.57,17.22,17.63,17.88,18.29,19.75,20.2,17.71,18.11,16.24,16.58,19.15,19.58,19.91,20.36,19.26,19.71,18.6,19.02,16.9,17.29,17.49,17.9
banner,2.17,85.35,2.17,85.35,2.190000057220459,76.88999938964844,2.21,87.09,2.17,86.04,2.17,85.59,2.17,86.54,2.17,86.21,2.15,85.59,2.15,85.72,2.18,85.89,2.16,85.8,2.19,85.94,2.17,86.25,2.19,86.02,2.16,86.04,2.17,85.79,2.17,85.91,2.17,85.88,2.18,85.5,2.17,85.73,2.17,85.94,2.18,85.53
baseball bat,0.0,0.0,0.0,0.0,5.079999923706055,14.970000267028807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball glove,0.0,0.0,0.0,0.0,19.049999237060547,50.59999847412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,84.14,94.44,84.14,94.44,78.13999938964844,89.94000244140625,84.27,93.89,84.1,93.92,83.98,93.37,84.19,93.72,84.14,93.55,84.21,93.8,84.03,93.29,83.9,93.38,84.03,93.25,84.15,93.99,84.18,93.97,84.21,93.88,84.13,93.86,84.12,94.04,84.04,93.64,84.02,93.69,84.03,93.67,84.22,94.4,84.1,94.17,84.2,94.04
bed,36.68,46.9,36.68,46.9,48.75,60.38000106811523,36.83,46.6,36.89,46.33,36.62,46.56,36.9,46.62,37.0,46.33,36.84,46.13,36.91,45.87,36.51,45.43,37.21,46.63,36.78,46.44,36.13,45.74,36.61,46.58,36.0,45.56,36.53,46.25,36.4,45.98,36.37,45.97,36.61,46.57,36.71,46.55,36.73,46.57,36.98,46.83
bench,23.1,34.36,23.1,34.36,35.869998931884766,46.2400016784668,23.56,34.69,22.4,32.68,22.64,33.43,22.04,32.33,22.11,32.79,22.36,33.01,21.86,32.64,22.71,33.06,22.47,33.51,22.93,33.54,22.46,33.29,23.44,34.12,23.17,34.17,22.88,33.46,23.3,33.8,22.98,33.09,22.46,32.43,22.96,33.39,22.72,33.29,22.49,32.85
bicycle,44.28,83.39,44.28,83.39,54.88999938964844,83.58000183105469,44.05,83.26,44.07,82.87,43.94,83.3,44.25,83.43,44.29,83.13,44.05,83.13,44.39,83.01,44.03,83.51,44.52,83.28,44.24,82.93,44.12,83.13,44.08,83.16,44.27,82.81,44.28,83.15,44.29,83.8,44.39,83.57,44.21,83.15,44.41,83.2,44.56,83.78,43.94,83.51
bird,46.63,81.04,46.63,81.04,57.040000915527344,88.44000244140625,46.46,80.28,45.85,79.81,47.5,79.2,46.52,80.32,45.87,79.82,46.38,79.77,46.39,79.37,44.51,79.4,47.0,79.18,47.48,79.89,46.19,80.6,46.18,79.59,46.86,79.86,46.15,79.21,46.21,79.42,46.05,79.74,46.56,79.81,46.87,79.63,46.56,80.33,46.26,79.58
blanket,7.13,16.48,7.13,16.48,6.300000190734862,19.989999771118164,5.36,12.66,6.62,15.8,6.46,14.87,6.39,14.65,5.44,12.73,5.82,13.46,6.01,14.46,7.0,15.78,6.21,14.48,5.68,12.9,6.18,14.97,6.47,15.16,5.75,13.93,6.24,14.64,6.51,15.7,6.18,14.94,5.93,14.41,5.9,14.51,6.48,15.3,6.08,13.93
boat,52.59,81.02,52.59,81.02,32.54999923706055,79.05999755859375,52.01,79.98,52.2,80.31,51.9,79.6,52.31,79.89,52.6,80.6,52.3,80.34,51.98,80.22,52.45,80.06,52.16,80.2,52.33,79.77,52.21,79.86,52.53,80.26,52.43,79.99,52.74,80.39,52.2,79.96,52.22,80.01,52.24,79.97,52.38,80.2,52.26,79.64,52.71,80.79
book,37.26,42.67,37.26,42.67,25.719999313354492,31.0,36.95,42.38,36.78,42.32,36.8,42.2,35.58,40.77,38.06,43.81,37.24,42.79,36.93,42.39,36.78,41.96,36.79,41.99,37.25,42.59,37.62,42.78,37.15,43.04,37.9,43.01,37.08,42.37,37.7,43.17,37.54,43.08,37.5,43.0,36.81,42.45,37.13,42.49,37.73,43.05
bottle,36.42,52.58,36.42,52.58,23.799999237060547,52.66999816894531,35.9,51.96,35.94,51.93,35.78,51.85,36.26,52.59,36.3,51.96,36.33,52.33,36.35,52.13,35.38,51.88,36.54,52.31,36.36,51.94,36.68,51.97,35.5,52.33,36.5,51.78,36.5,51.93,36.07,51.81,36.19,51.87,36.58,52.21,36.54,52.25,36.49,51.91,36.3,51.97
