[2026-03-18 11:56:43 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.29 | 13.93 |
|     bicycle      | 52.66 | 83.28 |
|       car        |  43.0 | 75.05 |
|    motorcycle    |  66.1 | 88.47 |
|     airplane     | 41.05 | 90.15 |
|       bus        | 62.82 | 84.46 |
|      train       | 55.09 | 70.37 |
|      truck       |  38.2 | 47.76 |
|       boat       | 32.68 | 81.23 |
|  traffic light   | 20.74 | 69.06 |
|   fire hydrant   |  54.8 | 82.83 |
|    stop sign     | 60.23 | 91.14 |
|  parking meter   | 28.33 | 36.31 |
|      bench       | 36.15 | 46.18 |
|       bird       | 53.68 | 86.72 |
|       cat        | 69.23 | 88.72 |
|       dog        | 61.15 | 82.75 |
|      horse       |  61.1 | 87.33 |
|      sheep       | 73.27 |  90.5 |
|       cow        | 65.12 | 82.77 |
|     elephant     | 80.27 | 93.21 |
|       bear       |  79.0 | 90.81 |
|      zebra       | 77.49 | 93.93 |
|     giraffe      | 47.62 | 89.92 |
|     backpack     |  7.91 | 56.51 |
|     umbrella     | 32.88 | 70.23 |
|     handbag      |  8.74 | 11.65 |
|       tie        |  1.07 | 52.29 |
|     suitcase     | 46.58 | 53.91 |
|     frisbee      | 11.75 |  51.9 |
|       skis       |  7.55 | 52.07 |
|    snowboard     | 13.45 | 59.71 |
|   sports ball    |  2.53 | 58.01 |
|       kite       | 28.56 | 50.97 |
|   baseball bat   |  5.7  |  8.02 |
|  baseball glove  | 23.08 | 46.57 |
|    skateboard    | 17.39 | 54.16 |
|    surfboard     | 26.55 | 72.39 |
|  tennis racket   |  6.49 | 48.49 |
|      bottle      | 24.97 | 53.36 |
|    wine glass    | 30.61 | 71.28 |
|       cup        | 17.36 | 24.93 |
|       fork       | 13.92 | 15.37 |
|      knife       |  4.72 |  6.17 |
|      spoon       | 18.68 | 32.28 |
|       bowl       | 12.28 | 16.08 |
|      banana      | 36.21 | 45.55 |
|      apple       | 11.27 | 12.61 |
|     sandwich     | 13.21 | 14.27 |
|      orange      | 22.37 |  25.6 |
|     broccoli     |  8.48 |  9.01 |
|      carrot      |  25.4 | 26.15 |
|     hot dog      | 34.15 | 39.95 |
|      pizza       |  43.8 | 52.44 |
|      donut       | 50.04 |  54.4 |
|       cake       | 47.77 | 69.74 |
|      chair       | 14.68 | 15.91 |
|      couch       | 46.32 | 57.22 |
|   potted plant   |  8.95 | 11.78 |
|       bed        | 48.01 | 60.39 |
|   dining table   | 11.17 | 12.26 |
|      toilet      | 30.84 | 76.19 |
|        tv        | 28.79 | 36.52 |
