[2026-03-18 12:23:44 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.11 | 13.74 |
|     bicycle      | 52.58 | 83.67 |
|       car        | 43.01 | 75.22 |
|    motorcycle    | 65.88 | 88.74 |
|     airplane     | 41.13 | 89.79 |
|       bus        | 62.96 | 84.94 |
|      train       | 55.47 | 71.42 |
|      truck       | 38.53 | 48.14 |
|       boat       | 32.51 | 80.97 |
|  traffic light   | 20.23 | 69.34 |
|   fire hydrant   | 54.73 | 83.26 |
|    stop sign     |  60.1 | 90.91 |
|  parking meter   | 28.38 |  36.4 |
|      bench       | 35.96 | 45.88 |
|       bird       | 53.43 | 86.41 |
|       cat        | 69.38 | 88.55 |
|       dog        | 61.08 | 82.45 |
|      horse       | 61.47 | 87.19 |
|      sheep       | 73.62 | 90.13 |
|       cow        | 65.41 | 82.45 |
|     elephant     | 80.77 | 92.74 |
|       bear       | 79.07 | 90.12 |
|      zebra       | 78.02 |  93.5 |
|     giraffe      | 47.68 | 89.25 |
|     backpack     |  7.94 |  56.5 |
|     umbrella     |  32.8 | 70.18 |
|     handbag      |  8.89 | 11.89 |
|       tie        |  1.09 | 53.63 |
|     suitcase     | 46.47 | 53.88 |
|     frisbee      |  11.5 | 52.45 |
|       skis       |  7.9  | 57.49 |
|    snowboard     | 13.88 | 63.65 |
|   sports ball    |  2.52 |  58.2 |
|       kite       | 28.37 | 50.92 |
|   baseball bat   |  5.45 |  8.19 |
|  baseball glove  | 22.46 | 47.08 |
|    skateboard    | 17.33 |  54.8 |
|    surfboard     | 27.53 | 72.57 |
|  tennis racket   |  6.5  | 48.42 |
|      bottle      | 25.04 | 53.54 |
|    wine glass    | 30.51 | 70.82 |
|       cup        |  17.3 |  24.8 |
|       fork       | 13.78 |  15.2 |
|      knife       |  4.7  |  6.17 |
|      spoon       | 18.82 | 32.54 |
|       bowl       | 12.33 | 16.15 |
|      banana      |  37.4 | 46.93 |
