[2026-03-18 12:28:20 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.96 | 13.58 |
|     bicycle      | 52.51 | 83.53 |
|       car        | 42.73 | 75.35 |
|    motorcycle    | 65.57 | 88.82 |
|     airplane     | 40.81 | 90.44 |
|       bus        | 62.88 | 84.85 |
|      train       | 55.44 | 71.17 |
|      truck       | 38.35 | 47.94 |
|       boat       | 32.42 | 81.25 |
|  traffic light   | 20.66 | 70.13 |
|   fire hydrant   | 54.79 |  82.5 |
|    stop sign     | 59.94 | 91.05 |
|  parking meter   | 28.08 | 36.12 |
|      bench       | 35.99 | 45.85 |
|       bird       | 53.76 | 86.24 |
|       cat        | 69.61 | 88.29 |
|       dog        | 61.18 | 82.24 |
|      horse       | 61.02 | 87.06 |
|      sheep       | 73.44 | 90.27 |
|       cow        | 65.12 | 82.43 |
|     elephant     | 80.53 | 92.73 |
|       bear       | 79.18 | 90.31 |
|      zebra       |  78.1 | 93.15 |
|     giraffe      | 47.43 | 88.94 |
|     backpack     |  7.78 | 55.92 |
|     umbrella     | 32.79 |  70.4 |
|     handbag      |  8.45 | 11.21 |
|       tie        |  1.12 | 54.91 |
|     suitcase     | 46.11 | 53.86 |
|     frisbee      | 11.85 | 51.81 |
|       skis       |  7.58 | 54.39 |
|    snowboard     | 13.74 | 62.36 |
|   sports ball    |  2.52 | 57.76 |
|       kite       | 28.44 | 51.12 |
|   baseball bat   |  5.61 |  8.53 |
|  baseball glove  | 22.38 | 47.35 |
|    skateboard    | 17.77 | 54.52 |
|    surfboard     | 26.25 | 72.85 |
|  tennis racket   |  6.51 | 48.37 |
|      bottle      | 24.96 | 53.06 |
|    wine glass    | 30.74 | 70.89 |
|       cup        | 17.23 | 24.58 |
|       fork       | 13.57 | 14.95 |
|      knife       |  4.74 |  6.22 |
|      spoon       | 18.71 | 31.97 |
