[2026-04-13 13:50:12 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-04-13 13:59:50 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-13 13:59:50 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.25 |  13.9 |
|     bicycle      | 52.55 |  83.9 |
|       car        | 43.36 | 75.82 |
|    motorcycle    | 66.16 | 88.82 |
|     airplane     | 40.97 | 89.07 |
|       bus        | 62.79 |  84.2 |
|      train       | 55.08 | 70.61 |
|      truck       | 37.96 | 47.44 |
|       boat       | 33.33 | 81.01 |
|  traffic light   | 21.81 | 70.07 |
|   fire hydrant   | 55.24 | 82.53 |
|    stop sign     | 61.03 | 90.23 |
|  parking meter   |  27.8 | 35.69 |
|      bench       | 35.81 | 45.69 |
|       bird       | 53.81 | 86.16 |
|       cat        | 69.46 | 88.37 |
|       dog        | 61.72 | 82.54 |
|      horse       | 61.19 | 86.55 |
|      sheep       | 73.32 | 90.27 |
|       cow        | 64.95 | 81.81 |
|     elephant     | 80.71 | 92.36 |
|       bear       | 78.99 | 90.17 |
|      zebra       | 77.95 | 92.64 |
|     giraffe      | 48.26 | 89.19 |
|     backpack     |  7.81 | 55.92 |
|     umbrella     | 33.06 | 70.19 |
|     handbag      |  8.18 | 10.82 |
|       tie        |  1.0  | 48.37 |
|     suitcase     | 46.38 | 53.78 |
|     frisbee      | 11.71 | 49.49 |
|       skis       |  7.58 | 56.17 |
|    snowboard     | 13.78 | 62.37 |
|   sports ball    |  2.52 | 57.31 |
|       kite       | 29.22 | 50.63 |
|   baseball bat   |  6.11 |  9.19 |
|  baseball glove  | 20.99 | 45.78 |
|    skateboard    | 17.78 | 53.99 |
|    surfboard     | 30.79 | 71.95 |
|  tennis racket   |  6.43 | 47.57 |
|      bottle      | 24.88 |  53.6 |
|    wine glass    | 30.53 | 71.93 |
|       cup        | 17.35 |  24.5 |
|       fork       | 13.73 | 15.05 |
|      knife       |  5.32 |  7.06 |
|      spoon       | 18.68 | 32.22 |
|       bowl       | 12.08 | 15.75 |
|      banana      | 38.45 | 48.19 |
|      apple       | 11.57 |  13.0 |
|     sandwich     | 13.64 | 14.74 |
|      orange      | 22.46 | 25.69 |
|     broccoli     | 10.62 | 11.27 |
|      carrot      | 23.33 | 24.07 |
|     hot dog      | 34.48 | 40.69 |
|      pizza       | 43.85 | 52.05 |
|      donut       | 50.12 | 54.34 |
|       cake       | 47.77 | 69.58 |
|      chair       | 14.73 | 15.92 |
|      couch       |  46.3 | 57.54 |
|   potted plant   |  8.62 | 11.53 |
|       bed        | 48.78 | 61.78 |
|   dining table   |  10.7 | 11.71 |
|      toilet      | 30.75 | 76.14 |
|        tv        |  28.7 |  36.2 |
|      laptop      | 43.65 | 65.15 |
|      mouse       | 20.02 | 41.16 |
|      remote      |  14.3 | 67.35 |
|     keyboard     | 38.32 | 57.52 |
|    cell phone    | 32.95 | 58.04 |
|    microwave     | 23.49 | 30.22 |
|       oven       | 24.26 |  70.5 |
|     toaster      | 20.03 | 51.36 |
|       sink       | 30.25 | 53.69 |
|   refrigerator   | 49.18 | 61.57 |
|       book       | 27.68 | 32.19 |
|      clock       |  43.7 | 82.84 |
|       vase       | 28.93 | 54.52 |
|     scissors     | 51.23 | 62.24 |
|    teddy bear    | 63.08 | 75.65 |
|    hair drier    |  1.81 | 14.72 |
|    toothbrush    | 24.06 | 54.46 |
|      banner      |  2.09 | 74.86 |
|     blanket      |  6.19 | 19.15 |
|      branch      |  6.47 | 41.54 |
|      bridge      | 23.65 | 37.46 |
|  building-other  |  30.5 | 56.27 |
|       bush       | 11.87 | 32.54 |
|     cabinet      | 24.37 | 34.41 |
|       cage       |  5.82 |  6.86 |
|    cardboard     | 21.66 | 25.26 |
|      carpet      | 38.84 | 50.78 |
|  ceiling-other   | 27.61 | 41.43 |
|   ceiling-tile   |  6.62 |  20.7 |
|      cloth       |  0.69 |  2.17 |
|     clothes      |  3.96 | 27.05 |
|      clouds      | 32.82 |  37.3 |
|     counter      | 10.22 | 33.19 |
|     cupboard     |  3.93 | 18.86 |
|     curtain      |  31.9 | 38.72 |
|    desk-stuff    | 22.34 |  38.0 |
|       dirt       | 13.01 | 14.82 |
|    door-stuff    |  13.5 | 19.15 |
|      fence       | 26.96 |  49.3 |
|   floor-marble   |  5.3  |  8.76 |
|   floor-other    |  8.91 | 38.82 |
|   floor-stone    |  1.52 |  2.66 |
|    floor-tile    |  34.6 | 40.05 |
|    floor-wood    | 23.62 |  28.7 |
|      flower      | 31.38 | 42.73 |
|       fog        | 12.78 | 17.01 |
|    food-other    | 11.14 | 74.83 |
|      fruit       |  17.8 | 63.61 |
| furniture-other  |  5.63 |  9.13 |
|      grass       | 48.74 | 61.82 |
|      gravel      | 13.59 | 24.43 |
|   ground-other   |  2.62 | 33.68 |
|       hill       |  6.15 |  7.64 |
|      house       | 11.18 |  31.1 |
|      leaves      |  7.6  |  9.44 |
|      light       |  4.03 | 28.54 |
|       mat        |  0.54 |  3.04 |
|      metal       |  3.73 |  4.27 |
|   mirror-stuff   |  12.3 | 14.68 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.23 | 60.03 |
|       mud        |  0.12 |  0.36 |
|      napkin      |  9.58 | 38.96 |
|       net        |  9.89 | 25.61 |
|      paper       | 14.06 | 26.82 |
|     pavement     | 31.83 |  49.7 |
|      pillow      |  4.47 |  15.4 |
|   plant-other    |  5.14 |  7.39 |
|     plastic      |  3.53 |  3.71 |
|     platform     |  6.33 |  9.74 |
|   playingfield   |  0.21 |  0.21 |
|     railing      |  4.56 |  12.9 |
|     railroad     | 38.47 | 84.31 |
|      river       | 41.58 | 60.37 |
|       road       | 31.05 | 39.43 |
|       rock       | 31.31 | 44.02 |
|       roof       |  4.74 | 28.36 |
|       rug        | 20.26 | 26.04 |
|      salad       | 12.62 | 28.35 |
|       sand       | 41.14 | 51.09 |
|       sea        | 50.65 | 62.28 |
|      shelf       | 13.95 | 16.31 |
|    sky-other     | 47.16 |  56.5 |
|    skyscraper    | 22.76 | 39.91 |
|       snow       | 70.48 | 86.48 |
|   solid-other    |  0.11 |  0.55 |
|      stairs      |  9.93 | 16.12 |
|      stone       |  7.45 | 11.65 |
|      straw       | 16.03 | 20.58 |
| structural-other |  0.14 |  0.3  |
|      table       |  6.34 |  8.62 |
|       tent       |  6.01 | 12.39 |
|  textile-other   |  4.55 |  6.6  |
|      towel       | 10.07 | 43.04 |
|       tree       |  34.6 | 37.62 |
|    vegetable     | 14.88 | 44.84 |
|    wall-brick    | 29.33 | 40.21 |
|  wall-concrete   |  3.14 |  3.21 |
|    wall-other    |  6.14 |  11.3 |
|    wall-panel    |  2.07 |  2.72 |
|    wall-stone    | 23.66 |  34.6 |
|    wall-tile     | 39.53 | 60.64 |
|    wall-wood     | 11.78 | 12.77 |
|   water-other    | 16.44 | 54.65 |
|    waterdrops    |  0.08 |  0.9  |
|   window-blind   | 33.95 |  43.9 |
|   window-other   | 25.25 | 47.08 |
|       wood       |  7.41 | 22.98 |
+------------------+-------+-------+
[2026-04-13 13:59:50 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-13 13:59:50 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.64 | 24.29 | 41.15 |
+-------+-------+-------+
