[2026-04-14 02:28:13 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 02:35:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 16.27 | 17.38 |
|     bicycle      |  44.9 | 83.87 |
|       car        | 38.89 | 69.91 |
|    motorcycle    | 61.59 | 75.51 |
|     airplane     | 66.15 |  96.9 |
|       bus        | 66.61 | 84.82 |
|      train       | 37.66 | 48.22 |
|      truck       | 19.27 | 23.87 |
|       boat       | 52.33 | 79.78 |
|  traffic light   | 23.14 | 61.28 |
|   fire hydrant   | 45.52 | 62.92 |
|    stop sign     | 12.94 | 87.96 |
|  parking meter   |  9.82 | 12.76 |
|      bench       | 22.31 | 32.43 |
|       bird       | 45.95 |  80.4 |
|       cat        | 69.95 | 96.86 |
|       dog        | 68.36 | 93.47 |
|      horse       |  50.2 | 73.16 |
|      sheep       | 52.67 | 73.48 |
|       cow        |  63.2 | 90.83 |
|     elephant     | 86.07 | 96.55 |
|       bear       | 83.99 | 93.77 |
|      zebra       | 78.31 | 94.18 |
|     giraffe      | 46.99 | 80.91 |
|     backpack     |  1.95 | 13.74 |
|     umbrella     | 40.37 | 56.44 |
|     handbag      |  0.2  |  0.34 |
|       tie        |  1.37 | 45.51 |
|     suitcase     | 55.83 | 64.27 |
|     frisbee      |  5.47 | 60.88 |
|       skis       | 11.97 | 68.72 |
|    snowboard     |  0.0  |  0.21 |
|   sports ball    |  1.07 | 40.86 |
|       kite       | 35.55 |  58.8 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 12.54 | 15.56 |
|    surfboard     | 28.63 | 88.91 |
|  tennis racket   |  4.38 | 20.42 |
|      bottle      | 36.23 | 52.05 |
|    wine glass    | 20.59 | 43.56 |
|       cup        |  1.59 |  2.53 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 60.76 | 90.85 |
|       bowl       |  7.96 | 14.87 |
|      banana      | 18.42 |  18.8 |
|      apple       |  0.0  |  0.0  |
