[2026-04-14 02:37:29 CLIP_DINOiser] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-04-14 02:44:29 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-04-14 02:44:29 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 15.26 | 16.19 |
|     bicycle      | 45.29 | 80.98 |
|       car        | 38.64 | 71.14 |
|    motorcycle    | 62.76 | 73.99 |
|     airplane     | 69.74 | 96.37 |
|       bus        | 64.99 | 81.32 |
|      train       | 36.59 | 46.26 |
|      truck       | 16.23 | 21.05 |
|       boat       | 52.31 | 78.98 |
|  traffic light   | 21.38 | 64.33 |
|   fire hydrant   | 40.75 | 54.51 |
|    stop sign     | 15.21 | 90.27 |
|  parking meter   |  9.37 | 12.49 |
|      bench       | 25.64 | 40.82 |
|       bird       | 48.56 | 85.31 |
|       cat        | 73.36 | 95.68 |
|       dog        | 70.95 | 92.32 |
|      horse       | 52.26 | 72.15 |
|      sheep       | 55.55 | 70.49 |
|       cow        | 66.79 | 89.22 |
|     elephant     | 86.68 | 95.84 |
|       bear       | 84.43 | 92.23 |
|      zebra       | 80.21 | 91.61 |
|     giraffe      | 47.41 | 79.82 |
|     backpack     |  1.3  |  9.63 |
|     umbrella     | 40.07 | 54.19 |
|     handbag      |  0.17 |  0.32 |
|       tie        |  1.36 | 45.34 |
|     suitcase     | 58.04 | 63.39 |
|     frisbee      |  6.03 | 68.39 |
|       skis       |  11.3 | 73.63 |
|    snowboard     |  0.06 |  2.78 |
|   sports ball    |  1.67 | 53.97 |
|       kite       | 32.75 | 48.24 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 23.09 |  32.9 |
|    surfboard     | 29.86 | 89.03 |
|  tennis racket   |  4.56 | 22.13 |
|      bottle      | 33.27 | 53.35 |
|    wine glass    | 27.18 | 59.33 |
|       cup        |  1.72 |  2.71 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 61.36 | 89.99 |
|       bowl       |  8.92 | 17.69 |
|      banana      | 28.83 | 29.51 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 27.85 |  28.0 |
|     hot dog      |  0.0  |  0.0  |
|      pizza       | 13.32 | 19.96 |
|      donut       |  0.0  |  0.0  |
|       cake       | 20.84 | 35.56 |
|      chair       |  2.42 |  2.78 |
|      couch       | 28.47 | 37.03 |
|   potted plant   |  1.45 |  1.45 |
|       bed        | 36.84 |  44.7 |
|   dining table   | 14.33 | 16.89 |
|      toilet      |  33.5 | 90.65 |
|        tv        | 15.64 | 17.57 |
|      laptop      | 42.63 | 54.67 |
|      mouse       | 40.02 | 86.13 |
|      remote      |  3.44 | 27.45 |
|     keyboard     | 44.14 |  95.0 |
|    cell phone    | 24.97 |  32.0 |
|    microwave     | 27.35 |  30.4 |
|       oven       | 31.28 | 60.94 |
|     toaster      |  0.0  |  0.0  |
|       sink       | 20.56 | 40.06 |
|   refrigerator   | 23.69 | 27.66 |
|       book       | 33.85 | 38.88 |
|      clock       |  7.87 | 13.85 |
|       vase       | 61.54 | 74.54 |
|     scissors     |  0.0  |  0.0  |
|    teddy bear    |  0.89 |  0.89 |
|    hair drier    |  0.0  |  nan  |
|    toothbrush    |  0.04 |  0.07 |
|      banner      |  2.17 | 87.78 |
|     blanket      |  8.58 | 18.19 |
|      branch      |  2.83 |  7.15 |
|      bridge      | 25.86 | 28.04 |
|  building-other  | 22.65 | 44.87 |
|       bush       |  4.76 |  21.9 |
|     cabinet      | 29.05 | 45.14 |
|       cage       | 20.68 | 29.63 |
|    cardboard     |  2.06 |  3.1  |
|      carpet      | 50.89 | 64.77 |
|  ceiling-other   | 24.35 | 49.63 |
|   ceiling-tile   |  0.0  |  nan  |
|      cloth       |  0.0  |  0.0  |
|     clothes      |  2.38 | 12.19 |
|      clouds      | 53.29 | 60.71 |
|     counter      | 12.68 | 34.68 |
|     cupboard     |  0.0  |  0.0  |
|     curtain      |  27.2 | 32.65 |
|    desk-stuff    | 19.21 | 25.24 |
|       dirt       |  5.96 |  6.94 |
|    door-stuff    |  6.24 |  6.72 |
|      fence       | 23.21 | 37.23 |
|   floor-marble   | 13.84 | 55.61 |
|   floor-other    |  5.77 | 39.86 |
|   floor-stone    | 12.31 | 13.95 |
|    floor-tile    | 24.48 | 27.02 |
|    floor-wood    | 39.63 | 44.18 |
|      flower      |  0.01 |  0.02 |
|       fog        |  0.47 |  0.78 |
|    food-other    |  6.9  |  56.2 |
|      fruit       | 11.07 |  58.8 |
| furniture-other  |  5.74 |  8.5  |
|      grass       | 52.52 | 63.49 |
|      gravel      |  0.32 |  0.33 |
|   ground-other   |  1.69 | 19.68 |
|       hill       |  0.87 |  1.37 |
|      house       | 13.69 |  42.2 |
|      leaves      |  0.0  |  0.0  |
|      light       |  2.3  | 14.54 |
|       mat        |  0.0  |  nan  |
|      metal       |  6.42 |  6.93 |
|   mirror-stuff   | 12.46 | 17.87 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 43.64 |  61.2 |
|       mud        |  0.0  |  0.0  |
|      napkin      |  0.0  |  0.0  |
|       net        |  2.69 | 11.61 |
|      paper       |  0.64 |  3.09 |
|     pavement     | 33.09 | 55.23 |
|      pillow      |  0.1  |  0.2  |
|   plant-other    |  8.92 |  17.9 |
|     plastic      |  3.47 |  3.58 |
|     platform     |  2.61 |  4.13 |
|   playingfield   |  1.27 |  1.28 |
|     railing      |  4.73 | 13.16 |
|     railroad     | 38.66 | 90.34 |
|      river       |  58.8 | 69.46 |
|       road       | 32.27 | 43.98 |
|       rock       | 37.79 |  53.5 |
|       roof       | 11.95 | 57.77 |
|       rug        |  0.0  |  0.0  |
|      salad       |  0.0  |  nan  |
|       sand       | 39.84 | 46.91 |
|       sea        | 44.16 | 56.07 |
|      shelf       | 34.63 | 37.74 |
|    sky-other     | 51.08 | 57.48 |
|    skyscraper    | 13.73 | 21.53 |
|       snow       | 59.88 | 74.39 |
|   solid-other    |  1.36 |  3.43 |
|      stairs      |  0.0  |  0.0  |
|      stone       | 32.53 | 47.43 |
|      straw       |  0.0  |  0.0  |
| structural-other |  0.0  |  0.0  |
|      table       | 15.34 | 19.61 |
|       tent       | 22.65 | 73.93 |
|  textile-other   |  3.14 |  4.0  |
|      towel       | 26.41 | 69.77 |
|       tree       | 25.82 | 29.16 |
|    vegetable     | 25.64 | 46.36 |
|    wall-brick    | 43.79 | 63.88 |
|  wall-concrete   |  1.65 |  1.67 |
|    wall-other    |  2.15 |  3.8  |
|    wall-panel    |  0.13 |  0.21 |
|    wall-stone    | 38.96 | 53.38 |
|    wall-tile     | 49.14 | 65.03 |
|    wall-wood     |  0.48 |  0.52 |
|   water-other    |  22.0 | 60.14 |
|    waterdrops    |  0.0  |  nan  |
|   window-blind   | 22.03 | 23.23 |
|   window-other   | 24.57 | 53.53 |
|       wood       |  2.33 |  4.92 |
+------------------+-------+-------+
[2026-04-14 02:44:29 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-04-14 02:44:29 CLIP_DINOiser] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 37.22 | 20.75 | 35.42 |
+-------+-------+-------+
