[2026-04-14 21:49:25 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.69 |  14.4 |
|     bicycle      | 52.26 |  83.4 |
|       car        | 42.83 | 74.98 |
|    motorcycle    |  65.0 | 88.86 |
|     airplane     | 41.02 | 90.25 |
|       bus        | 62.95 | 85.24 |
|      train       | 56.17 |  72.4 |
|      truck       | 39.03 |  48.6 |
|       boat       |  32.6 | 80.66 |
|  traffic light   | 20.52 | 69.37 |
|   fire hydrant   |  54.9 | 82.95 |
|    stop sign     | 60.14 | 90.88 |
|  parking meter   |  27.9 | 35.79 |
|      bench       | 35.96 | 45.51 |
|       bird       | 53.56 | 86.29 |
|       cat        | 68.61 | 88.94 |
|       dog        | 60.84 | 83.46 |
|      horse       | 60.45 | 88.69 |
|      sheep       | 72.31 |  91.4 |
|       cow        | 64.36 |  83.8 |
|     elephant     | 79.36 | 94.35 |
|       bear       | 78.67 | 91.42 |
|      zebra       | 75.66 |  94.9 |
|     giraffe      | 46.95 | 91.26 |
|     backpack     |  8.05 | 55.42 |
|     umbrella     | 32.52 | 69.92 |
|     handbag      |  7.87 |  10.3 |
|       tie        |  1.12 | 55.06 |
|     suitcase     | 45.97 |  53.4 |
|     frisbee      | 11.66 | 49.35 |
|       skis       |  7.57 | 56.54 |
|    snowboard     | 13.34 | 61.94 |
|   sports ball    |  2.46 | 56.84 |
|       kite       | 28.89 | 50.32 |
|   baseball bat   |  5.62 |  7.81 |
|  baseball glove  | 23.35 | 45.96 |
|    skateboard    | 17.29 | 53.83 |
|    surfboard     | 27.53 | 72.21 |
|  tennis racket   |  6.37 | 46.81 |
|      bottle      | 25.28 | 52.86 |
|    wine glass    | 30.88 | 70.63 |
|       cup        |  17.4 | 24.59 |
|       fork       | 13.45 |  14.7 |
|      knife       |  4.32 |  5.56 |
|      spoon       | 18.88 | 32.59 |
|       bowl       | 12.06 | 15.68 |
|      banana      | 34.24 | 43.06 |
|      apple       | 11.21 | 12.58 |
|     sandwich     | 13.18 | 14.18 |
|      orange      | 21.68 | 24.64 |
|     broccoli     |  4.54 |  4.77 |
|      carrot      | 21.14 | 21.75 |
|     hot dog      |  34.8 | 40.65 |
|      pizza       | 43.68 | 52.48 |
|      donut       | 50.15 | 54.54 |
|       cake       | 47.82 | 69.97 |
|      chair       | 14.05 | 15.13 |
|      couch       | 46.16 | 57.02 |
|   potted plant   |  8.53 | 11.43 |
|       bed        | 48.31 | 61.71 |
|   dining table   | 11.44 | 12.56 |
|      toilet      | 28.11 |  76.5 |
