[2026-04-14 19:45:14 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 19:54:58 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 19:54:58 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.27 | 13.93 |
|     bicycle      | 52.37 | 83.87 |
|       car        | 43.69 | 75.89 |
|    motorcycle    | 66.15 | 88.33 |
|     airplane     | 41.15 | 90.22 |
|       bus        | 62.98 | 84.35 |
|      train       | 55.03 | 70.69 |
|      truck       | 38.22 |  47.7 |
|       boat       | 33.45 |  81.1 |
|  traffic light   | 21.75 | 70.14 |
|   fire hydrant   | 54.58 | 81.55 |
|    stop sign     | 60.32 | 91.14 |
|  parking meter   |  27.6 |  35.7 |
|      bench       | 35.55 | 44.95 |
|       bird       | 53.93 | 86.29 |
|       cat        | 69.63 | 88.82 |
|       dog        | 61.03 |  82.2 |
|      horse       | 60.89 | 87.02 |
|      sheep       | 73.29 | 90.21 |
|       cow        | 65.41 | 82.41 |
|     elephant     | 80.51 | 92.38 |
|       bear       | 79.36 | 90.12 |
|      zebra       | 77.84 | 93.41 |
|     giraffe      | 48.13 | 89.15 |
|     backpack     |  7.75 | 55.97 |
|     umbrella     |  32.8 |  70.2 |
|     handbag      |  8.11 | 10.76 |
|       tie        |  1.16 | 56.47 |
|     suitcase     | 46.79 | 53.94 |
|     frisbee      | 11.55 | 51.58 |
|       skis       |  7.16 | 50.37 |
|    snowboard     | 12.85 | 59.43 |
|   sports ball    |  2.48 | 56.89 |
|       kite       | 28.56 | 51.78 |
|   baseball bat   |  5.53 |  8.17 |
|  baseball glove  | 21.57 | 45.82 |
|    skateboard    | 17.17 |  54.5 |
|    surfboard     | 29.31 |  73.2 |
|  tennis racket   |  6.42 | 46.91 |
|      bottle      | 24.58 | 53.17 |
|    wine glass    | 30.34 | 72.33 |
|       cup        | 17.33 | 24.88 |
|       fork       | 12.03 | 13.12 |
|      knife       |  5.37 |  7.03 |
|      spoon       | 18.67 | 31.39 |
|       bowl       | 12.25 | 15.96 |
|      banana      | 38.05 | 47.81 |
|      apple       | 11.45 | 12.93 |
|     sandwich     | 13.33 |  14.4 |
|      orange      | 22.68 |  26.0 |
|     broccoli     |  9.88 | 10.55 |
|      carrot      | 24.86 | 25.57 |
|     hot dog      | 34.92 | 40.98 |
|      pizza       | 44.21 | 52.83 |
|      donut       | 50.66 | 55.07 |
|       cake       |  48.0 | 70.18 |
|      chair       |  14.8 | 16.07 |
|      couch       | 46.63 | 57.56 |
|   potted plant   |  9.35 | 12.48 |
|       bed        | 48.37 | 61.11 |
|   dining table   | 11.09 | 12.13 |
|      toilet      | 31.54 | 76.04 |
|        tv        | 28.49 | 36.15 |
|      laptop      | 44.27 | 65.95 |
|      mouse       | 21.35 | 45.17 |
|      remote      | 14.66 | 68.64 |
|     keyboard     | 40.02 | 59.21 |
|    cell phone    | 33.49 | 58.05 |
|    microwave     | 23.33 | 30.59 |
|       oven       | 24.31 | 69.95 |
|     toaster      | 20.15 | 51.43 |
|       sink       | 30.94 | 55.63 |
|   refrigerator   | 49.02 | 61.33 |
|       book       | 28.02 | 32.58 |
|      clock       | 42.63 | 82.48 |
|       vase       | 28.58 | 53.51 |
|     scissors     | 51.03 | 61.75 |
|    teddy bear    | 62.41 | 75.96 |
|    hair drier    |  1.79 | 14.65 |
|    toothbrush    | 22.46 | 50.66 |
|      banner      |  2.08 | 74.32 |
|     blanket      |  6.11 | 18.95 |
|      branch      |  6.31 | 41.71 |
|      bridge      | 23.18 | 36.83 |
|  building-other  | 30.44 | 56.35 |
|       bush       | 11.87 | 32.68 |
|     cabinet      | 24.88 | 35.21 |
|       cage       |  5.7  |  6.77 |
|    cardboard     | 22.68 | 26.58 |
|      carpet      | 39.34 | 51.83 |
|  ceiling-other   | 27.77 | 41.94 |
|   ceiling-tile   |  7.39 | 22.52 |
|      cloth       |  0.65 |  2.03 |
|     clothes      |  3.95 | 27.45 |
|      clouds      | 32.79 | 37.27 |
|     counter      | 10.29 | 33.08 |
|     cupboard     |  4.5  | 21.57 |
|     curtain      |  32.3 | 39.17 |
|    desk-stuff    | 22.41 | 37.52 |
|       dirt       | 13.29 | 15.22 |
|    door-stuff    | 13.97 | 19.57 |
|      fence       | 27.25 | 50.41 |
|   floor-marble   |  5.1  |  8.44 |
|   floor-other    |  9.08 | 39.09 |
|   floor-stone    |  1.55 |  2.72 |
|    floor-tile    | 35.04 | 40.65 |
|    floor-wood    | 23.47 | 28.65 |
|      flower      | 31.25 | 42.63 |
|       fog        | 12.52 | 16.74 |
|    food-other    |  11.3 | 74.83 |
|      fruit       | 17.84 | 64.19 |
| furniture-other  |  5.78 |  9.37 |
|      grass       | 48.56 |  61.1 |
|      gravel      | 13.93 | 25.08 |
|   ground-other   |  2.64 | 33.68 |
|       hill       |  6.13 |  7.64 |
|      house       | 11.31 | 31.19 |
|      leaves      |  7.86 |  9.74 |
|      light       |  4.14 | 29.21 |
|       mat        |  0.65 |  3.55 |
|      metal       |  4.09 |  4.68 |
|   mirror-stuff   | 12.83 | 15.49 |
|       moss       |  0.0  |  0.0  |
|     mountain     |  35.7 | 59.57 |
|       mud        |  0.12 |  0.35 |
|      napkin      |  9.28 | 37.48 |
|       net        |  9.97 | 25.51 |
|      paper       |  13.9 | 26.41 |
|     pavement     | 31.67 | 49.33 |
|      pillow      |  4.13 | 14.65 |
|   plant-other    |  5.23 |  7.48 |
|     plastic      |  3.5  |  3.71 |
|     platform     |  5.75 |  8.92 |
|   playingfield   |  0.22 |  0.22 |
|     railing      |  4.17 | 11.59 |
|     railroad     | 38.07 | 83.81 |
|      river       | 41.37 | 59.92 |
|       road       | 30.96 | 39.39 |
|       rock       | 31.59 | 44.16 |
|       roof       |  4.74 | 27.76 |
|       rug        | 19.96 |  25.5 |
|      salad       | 13.11 | 29.58 |
|       sand       |  40.1 | 49.81 |
|       sea        | 49.75 | 61.72 |
|      shelf       | 13.81 | 16.16 |
|    sky-other     | 47.11 | 56.34 |
|    skyscraper    | 22.88 | 40.14 |
|       snow       |  70.5 | 86.68 |
|   solid-other    |  0.14 |  0.68 |
|      stairs      |  9.32 | 15.11 |
|      stone       |  7.65 | 11.87 |
|      straw       |  16.0 | 20.42 |
| structural-other |  0.15 |  0.32 |
|      table       |  6.47 |  8.8  |
|       tent       |  5.93 | 12.19 |
|  textile-other   |  4.37 |  6.42 |
|      towel       | 10.14 | 43.02 |
|       tree       |  34.4 | 37.44 |
|    vegetable     | 14.97 | 44.82 |
|    wall-brick    | 29.06 | 40.09 |
|  wall-concrete   |  3.17 |  3.24 |
|    wall-other    |  6.21 | 11.51 |
|    wall-panel    |  2.13 |  2.79 |
|    wall-stone    | 23.46 | 34.67 |
|    wall-tile     | 39.73 |  60.8 |
|    wall-wood     | 11.85 | 12.85 |
|   water-other    | 16.52 | 54.65 |
|    waterdrops    |  0.01 |  0.14 |
|   window-blind   | 33.66 | 43.54 |
|   window-other   | 25.37 | 47.22 |
|       wood       |  7.6  | 23.63 |
+------------------+-------+-------+
[2026-04-14 19:54:58 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-14 19:54:58 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.65 | 24.29 | 41.23 |
+-------+-------+-------+
