[2026-04-14 21:28:53 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 21:38:36 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 21:38:36 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.81 | 14.47 |
|     bicycle      |  53.2 | 82.99 |
|       car        | 43.51 | 75.18 |
|    motorcycle    | 66.72 | 87.14 |
|     airplane     | 39.27 | 91.42 |
|       bus        | 62.88 | 85.61 |
|      train       | 55.75 | 71.82 |
|      truck       | 39.71 | 49.44 |
|       boat       | 33.24 | 81.86 |
|  traffic light   | 19.18 | 71.49 |
|   fire hydrant   | 54.25 | 83.89 |
|    stop sign     | 58.93 | 90.93 |
|  parking meter   |  27.0 |  35.7 |
|      bench       | 36.04 | 46.04 |
|       bird       | 50.48 |  87.4 |
|       cat        | 68.73 |  88.7 |
|       dog        | 60.95 | 82.94 |
|      horse       | 61.02 | 87.42 |
|      sheep       | 72.79 | 89.99 |
|       cow        | 64.93 | 83.09 |
|     elephant     | 79.95 | 93.48 |
|       bear       |  78.3 | 91.08 |
|      zebra       | 76.68 | 94.07 |
|     giraffe      | 47.18 | 90.45 |
|     backpack     |  7.93 |  54.9 |
|     umbrella     | 32.81 | 69.88 |
|     handbag      |  7.85 | 10.17 |
|       tie        |  1.13 | 56.98 |
|     suitcase     |  46.4 | 53.77 |
|     frisbee      | 10.04 |  50.3 |
|       skis       |  7.38 | 55.15 |
|    snowboard     |  12.6 |  62.9 |
|   sports ball    |  2.43 |  56.8 |
|       kite       | 24.07 | 53.62 |
|   baseball bat   |  6.92 |  9.84 |
|  baseball glove  | 21.48 | 45.43 |
|    skateboard    | 16.65 | 54.03 |
|    surfboard     | 27.89 |  72.6 |
|  tennis racket   |  6.46 | 48.35 |
|      bottle      | 25.53 | 50.67 |
|    wine glass    | 31.03 | 64.97 |
|       cup        | 16.53 | 22.73 |
|       fork       | 10.49 | 11.32 |
|      knife       |  4.48 |  5.53 |
|      spoon       | 20.99 | 29.78 |
|       bowl       | 11.49 | 14.84 |
|      banana      | 34.34 | 43.19 |
|      apple       | 10.92 | 12.24 |
|     sandwich     | 11.54 | 12.27 |
|      orange      | 21.19 | 23.93 |
|     broccoli     |  4.59 |  4.84 |
|      carrot      | 22.72 |  23.4 |
|     hot dog      | 33.19 | 38.48 |
|      pizza       |  43.2 | 51.55 |
|      donut       | 48.45 | 52.72 |
|       cake       | 46.97 | 70.05 |
|      chair       | 12.84 | 13.69 |
|      couch       | 44.13 | 54.06 |
|   potted plant   |  8.49 | 11.01 |
|       bed        | 47.91 | 63.22 |
|   dining table   | 11.43 | 12.56 |
|      toilet      | 26.77 | 77.34 |
|        tv        | 27.97 | 35.25 |
|      laptop      | 44.21 | 65.69 |
|      mouse       | 20.37 |  40.1 |
|      remote      | 15.49 | 66.51 |
|     keyboard     | 36.29 | 53.67 |
|    cell phone    | 34.06 | 58.11 |
|    microwave     | 22.28 | 26.95 |
|       oven       | 24.21 | 71.11 |
|     toaster      | 21.98 | 52.05 |
|       sink       | 29.48 | 49.77 |
|   refrigerator   | 48.59 | 61.77 |
|       book       | 26.81 |  30.1 |
|      clock       | 41.92 | 82.91 |
|       vase       | 29.34 | 55.63 |
|     scissors     | 51.61 | 62.92 |
|    teddy bear    | 61.64 | 76.14 |
|    hair drier    |  2.15 | 12.84 |
|    toothbrush    | 23.45 | 50.05 |
|      banner      |  2.05 | 73.97 |
|     blanket      |  6.02 | 17.68 |
|      branch      |  6.09 |  41.9 |
|      bridge      | 23.09 | 38.28 |
|  building-other  | 29.71 | 55.43 |
|       bush       | 11.77 | 32.64 |
|     cabinet      | 23.97 | 33.96 |
|       cage       |  5.5  |  6.48 |
|    cardboard     | 20.95 | 24.32 |
|      carpet      | 37.18 | 48.57 |
|  ceiling-other   | 26.79 | 39.37 |
|   ceiling-tile   |  6.59 | 23.07 |
|      cloth       |  0.73 |  2.19 |
|     clothes      |  3.91 | 26.59 |
|      clouds      | 31.18 |  35.2 |
|     counter      |  9.81 | 32.92 |
|     cupboard     |  3.4  | 14.63 |
|     curtain      | 29.72 | 35.85 |
|    desk-stuff    | 22.85 | 40.44 |
|       dirt       | 13.78 | 15.73 |
|    door-stuff    | 12.58 | 17.27 |
|      fence       | 26.26 | 48.35 |
|   floor-marble   |  4.85 |  7.69 |
|   floor-other    |  8.73 | 38.52 |
|   floor-stone    |  1.48 |  2.58 |
|    floor-tile    | 31.82 | 36.37 |
|    floor-wood    | 20.78 | 24.81 |
|      flower      | 31.19 | 42.28 |
|       fog        | 11.79 |  15.7 |
|    food-other    | 10.89 | 76.67 |
|      fruit       | 17.37 | 64.01 |
| furniture-other  |  5.66 |  9.99 |
|      grass       | 49.11 |  62.0 |
|      gravel      | 13.16 | 23.97 |
|   ground-other   |  2.66 | 33.93 |
|       hill       |  6.5  |  8.15 |
|      house       | 11.42 | 30.57 |
|      leaves      |  7.8  |  9.62 |
|      light       |  4.02 | 25.09 |
|       mat        |  0.55 |  2.88 |
|      metal       |  3.74 |  4.26 |
|   mirror-stuff   |  9.65 | 11.33 |
|       moss       |  0.0  |  0.0  |
|     mountain     |  34.2 | 61.31 |
|       mud        |  0.13 |  0.36 |
|      napkin      |  8.57 | 34.18 |
|       net        |  9.81 | 24.56 |
|      paper       | 13.53 |  25.2 |
|     pavement     | 31.58 | 49.34 |
|      pillow      |  4.19 | 13.61 |
|   plant-other    |  4.81 |  6.86 |
|     plastic      |  3.07 |  3.2  |
|     platform     |  6.52 | 10.21 |
|   playingfield   |  0.18 |  0.18 |
|     railing      |  3.78 | 11.03 |
|     railroad     | 38.26 | 83.78 |
|      river       | 41.49 | 59.57 |
|       road       | 31.15 | 39.91 |
|       rock       | 31.16 | 43.95 |
|       roof       |  5.05 |  27.8 |
|       rug        | 17.92 | 22.39 |
|      salad       | 13.35 |  28.6 |
|       sand       | 42.53 | 52.05 |
|       sea        | 49.85 |  61.9 |
|      shelf       | 12.33 | 14.27 |
|    sky-other     |  43.7 | 51.96 |
|    skyscraper    | 22.45 | 40.07 |
|       snow       | 69.54 | 86.24 |
|   solid-other    |  0.09 |  0.44 |
|      stairs      | 10.58 | 16.94 |
|      stone       |  7.43 | 11.98 |
|      straw       | 15.91 |  20.3 |
| structural-other |  0.19 |  0.38 |
|      table       |  5.84 |  7.9  |
|       tent       |  6.05 | 12.37 |
|  textile-other   |  4.5  |  6.6  |
|      towel       |  9.79 | 40.08 |
|       tree       | 33.75 |  37.2 |
|    vegetable     |  15.8 | 45.64 |
|    wall-brick    | 28.77 | 40.02 |
|  wall-concrete   |  3.27 |  3.34 |
|    wall-other    |  6.03 | 10.88 |
|    wall-panel    |  1.94 |  2.48 |
|    wall-stone    | 24.07 | 34.97 |
|    wall-tile     | 36.82 | 57.63 |
|    wall-wood     | 11.35 | 12.22 |
|   water-other    | 16.02 | 52.51 |
|    waterdrops    |  0.05 |  0.63 |
|   window-blind   | 32.98 | 41.77 |
|   window-other   | 25.35 | 46.22 |
|       wood       |  7.51 | 22.62 |
+------------------+-------+-------+
[2026-04-14 21:38:36 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-14 21:38:36 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
