[2026-04-14 21:39:14 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.58 | 13.17 |
|     bicycle      | 52.86 | 82.83 |
|       car        | 41.21 |  72.7 |
|    motorcycle    | 65.21 | 88.48 |
|     airplane     | 42.41 | 87.71 |
|       bus        | 62.53 | 86.64 |
|      train       | 54.37 | 73.57 |
|      truck       | 40.13 | 49.85 |
|       boat       | 31.56 | 81.68 |
|  traffic light   | 23.68 | 63.74 |
|   fire hydrant   | 57.55 | 81.97 |
|    stop sign     |  63.7 | 89.56 |
|  parking meter   | 29.93 | 35.91 |
|      bench       | 35.43 | 43.86 |
|       bird       |  59.6 |  83.6 |
|       cat        | 70.59 | 87.71 |
|       dog        | 62.66 | 81.92 |
|      horse       | 61.42 | 87.34 |
|      sheep       | 73.39 | 90.51 |
|       cow        | 65.49 |  83.0 |
|     elephant     | 79.47 | 93.97 |
|       bear       |  80.3 | 89.72 |
|      zebra       | 78.19 |  93.8 |
|     giraffe      | 47.83 | 89.57 |
|     backpack     |  8.29 | 53.36 |
|     umbrella     |  32.2 | 67.37 |
|     handbag      |  7.67 |  9.84 |
|       tie        |  1.2  | 55.09 |
|     suitcase     | 45.42 | 52.72 |
|     frisbee      | 16.17 | 45.57 |
|       skis       |  7.28 | 48.46 |
|    snowboard     | 15.39 | 56.04 |
|   sports ball    |  2.41 | 54.03 |
|       kite       | 30.15 | 46.27 |
|   baseball bat   |  5.66 |  7.31 |
|  baseball glove  | 24.07 | 45.88 |
|    skateboard    | 19.52 | 52.92 |
|    surfboard     | 31.26 | 66.93 |
|  tennis racket   |  5.96 | 43.89 |
|      bottle      | 25.23 | 50.03 |
|    wine glass    | 32.11 |  65.6 |
|       cup        | 16.29 | 21.92 |
|       fork       | 10.58 | 11.29 |
|      knife       |  4.82 |  6.03 |
|      spoon       | 20.83 | 30.71 |
|       bowl       | 11.54 | 14.58 |
|      banana      | 35.59 | 44.24 |
|      apple       | 11.11 | 12.14 |
|     sandwich     | 12.29 | 13.12 |
|      orange      | 23.45 | 26.27 |
|     broccoli     |  4.32 |  4.51 |
|      carrot      | 22.38 |  22.9 |
|     hot dog      | 32.41 | 37.38 |
|      pizza       | 42.88 | 50.78 |
|      donut       | 48.07 | 52.01 |
|       cake       | 47.56 | 69.03 |
|      chair       | 12.16 | 12.87 |
|      couch       | 44.15 | 53.55 |
|   potted plant   |  8.09 | 10.21 |
|       bed        |  48.5 | 62.76 |
|   dining table   |  11.0 | 12.03 |
|      toilet      | 28.66 | 75.27 |
|        tv        | 28.39 | 35.26 |
|      laptop      | 43.17 | 62.62 |
|      mouse       | 19.44 | 37.94 |
|      remote      | 15.17 | 65.49 |
|     keyboard     | 40.27 | 58.34 |
|    cell phone    | 34.15 | 56.67 |
|    microwave     | 22.75 | 27.23 |
|       oven       | 24.18 | 70.83 |
|     toaster      | 23.12 | 51.96 |
|       sink       | 29.56 |  50.7 |
|   refrigerator   | 47.62 | 60.52 |
|       book       | 26.26 | 29.69 |
|      clock       |  43.3 | 81.45 |
