[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.73 | 13.39 |
|     bicycle      | 54.48 | 82.83 |
|       car        | 43.18 | 74.39 |
|    motorcycle    | 67.17 |  86.5 |
|     airplane     | 42.32 |  88.8 |
|       bus        | 62.57 | 82.55 |
|      train       | 53.27 | 67.49 |
|      truck       | 36.67 | 45.83 |
|       boat       | 32.88 | 79.65 |
|  traffic light   | 22.38 |  71.0 |
|   fire hydrant   | 54.59 | 79.78 |
|    stop sign     | 62.67 | 90.67 |
|  parking meter   | 27.25 | 35.15 |
|      bench       | 35.66 | 45.85 |
|       bird       | 57.42 | 86.67 |
|       cat        | 70.64 | 87.94 |
|       dog        | 61.17 | 81.04 |
|      horse       | 61.86 | 85.05 |
|      sheep       | 73.91 | 88.76 |
|       cow        | 65.47 | 81.45 |
|     elephant     | 80.95 | 91.75 |
|       bear       | 79.32 | 89.47 |
|      zebra       |  79.4 | 92.06 |
|     giraffe      | 48.26 | 87.84 |
|     backpack     |  8.11 | 57.31 |
|     umbrella     | 34.64 | 70.54 |
|     handbag      |  10.6 | 14.53 |
|       tie        |  0.99 | 47.05 |
|     suitcase     | 46.59 | 53.11 |
|     frisbee      | 14.27 | 52.95 |
|       skis       |  8.54 | 58.21 |
|    snowboard     | 14.97 | 61.88 |
|   sports ball    |  2.54 | 59.91 |
|       kite       | 31.74 | 51.93 |
|   baseball bat   |  4.82 |  9.99 |
|  baseball glove  | 21.48 | 49.91 |
|    skateboard    |  18.5 | 55.17 |
|    surfboard     | 29.02 | 73.29 |
|  tennis racket   |  6.92 | 49.09 |
|      bottle      | 24.18 | 52.13 |
|    wine glass    | 30.53 | 73.14 |
|       cup        | 17.57 |  25.0 |
|       fork       | 16.14 | 18.29 |
|      knife       |  5.82 |  7.94 |
|      spoon       | 18.06 | 33.36 |
|       bowl       | 13.03 |  17.0 |
|      banana      |  39.4 |  49.9 |
|      apple       |  11.7 | 13.03 |
|     sandwich     | 14.09 | 15.38 |
|      orange      | 24.22 |  27.8 |
|     broccoli     | 17.31 | 18.68 |
|      carrot      | 31.12 | 31.99 |
|     hot dog      | 34.24 | 40.11 |
|      pizza       | 43.82 | 52.32 |
|      donut       | 50.61 | 54.92 |
|       cake       | 47.49 | 68.12 |
|      chair       | 15.41 | 16.71 |
|      couch       | 46.97 | 57.72 |
|   potted plant   |  9.39 | 12.87 |
|       bed        | 48.41 | 60.35 |
|   dining table   | 10.06 | 10.94 |
|      toilet      | 31.18 | 74.97 |
|        tv        | 29.51 | 37.34 |
|      laptop      | 43.98 | 64.45 |
|      mouse       | 21.95 | 46.02 |
|      remote      | 14.42 | 67.35 |
|     keyboard     |  41.9 | 62.22 |
|    cell phone    | 30.76 | 55.01 |
|    microwave     | 24.46 | 32.28 |
|       oven       | 23.85 | 69.09 |
|     toaster      | 19.69 | 50.47 |
|       sink       | 30.94 | 54.39 |
|   refrigerator   | 49.32 | 61.27 |
|       book       | 27.02 |  32.1 |
|      clock       | 44.77 | 83.29 |
|       vase       | 30.01 |  51.3 |
|     scissors     | 50.67 | 60.24 |
|    teddy bear    |  62.8 | 74.51 |
|    hair drier    |  1.66 | 16.68 |
|    toothbrush    | 27.13 | 59.16 |
|      banner      |  2.1  | 75.54 |
|     blanket      |  6.32 | 20.14 |
|      branch      |  6.25 | 41.68 |
|      bridge      | 24.63 | 40.36 |
|  building-other  | 30.51 | 54.29 |
|       bush       | 11.81 | 33.69 |
|     cabinet      | 25.02 | 35.72 |
|       cage       |  5.61 |  6.75 |
|    cardboard     | 22.16 | 26.26 |
|      carpet      | 40.55 | 54.52 |
|  ceiling-other   | 27.89 | 43.25 |
|   ceiling-tile   |  7.57 | 22.76 |
|      cloth       |  0.47 |  1.64 |
|     clothes      |  4.05 | 28.22 |
|      clouds      |  32.4 | 36.88 |
|     counter      | 10.31 | 33.64 |
|     cupboard     |  4.01 | 18.91 |
|     curtain      | 32.86 | 39.82 |
|    desk-stuff    | 23.24 | 37.78 |
|       dirt       | 13.83 | 15.81 |
|    door-stuff    | 14.61 | 20.39 |
|      fence       | 26.81 | 50.08 |
|   floor-marble   |  5.92 | 10.24 |
|   floor-other    |  9.1  | 39.27 |
|   floor-stone    |  1.67 |  2.86 |
|    floor-tile    | 35.92 | 42.04 |
|    floor-wood    | 23.53 | 28.81 |
|      flower      | 31.49 | 44.17 |
|       fog        | 13.32 | 17.57 |
|    food-other    | 11.37 | 73.79 |
|      fruit       | 17.92 | 63.93 |
| furniture-other  |  5.7  |  9.08 |
|      grass       |  49.8 | 63.67 |
|      gravel      | 13.94 | 25.59 |
|   ground-other   |  2.74 | 32.58 |
|       hill       |  6.43 |  8.11 |
|      house       | 11.27 | 31.25 |
|      leaves      |  8.22 | 10.27 |
|      light       |  3.86 |  29.9 |
|       mat        |  0.65 |  3.62 |
|      metal       |  4.11 |  4.73 |
|   mirror-stuff   | 13.86 | 16.92 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 37.15 | 63.19 |
|       mud        |  0.1  |  0.34 |
|      napkin      |  9.58 | 39.47 |
|       net        | 10.29 | 27.69 |
|      paper       |  13.2 | 26.88 |
|     pavement     | 32.22 | 50.32 |
|      pillow      |  5.93 | 22.76 |
|   plant-other    |  4.98 |  7.11 |
|     plastic      |  4.02 |  4.28 |
|     platform     |  6.12 |  9.25 |
|   playingfield   |  0.19 |  0.19 |
|     railing      |  5.02 | 15.26 |
|     railroad     | 37.56 | 84.34 |
|      river       |  41.6 |  60.3 |
|       road       | 31.77 | 40.61 |
|       rock       | 30.96 | 43.86 |
|       roof       |  4.67 | 30.36 |
|       rug        | 18.12 | 23.22 |
|      salad       | 11.27 | 26.45 |
|       sand       | 42.51 | 53.24 |
|       sea        | 50.73 | 61.33 |
|      shelf       | 14.72 | 17.25 |
|    sky-other     | 48.37 | 57.89 |
|    skyscraper    |  22.3 | 39.81 |
|       snow       | 71.38 | 87.35 |
|   solid-other    |  0.09 |  0.47 |
|      stairs      | 11.09 | 18.64 |
|      stone       |  7.28 |  11.5 |
|      straw       |  15.7 | 20.29 |
| structural-other |  0.16 |  0.35 |
|      table       |  6.74 |  9.4  |
|       tent       |  6.03 |  12.5 |
|  textile-other   |  4.13 |  6.07 |
|      towel       |  9.66 | 43.17 |
|       tree       |  35.6 | 39.02 |
|    vegetable     |  14.8 | 43.69 |
|    wall-brick    | 29.66 | 41.92 |
|  wall-concrete   |  3.22 |  3.3  |
|    wall-other    |  6.29 | 11.72 |
|    wall-panel    |  2.17 |  2.83 |
|    wall-stone    | 23.91 | 35.68 |
|    wall-tile     | 40.43 | 61.14 |
|    wall-wood     | 11.92 | 12.94 |
|   water-other    | 16.23 | 54.44 |
|    waterdrops    |  0.06 |  0.71 |
|   window-blind   | 34.67 | 47.15 |
|   window-other   | 25.89 |  47.7 |
|       wood       |  7.63 | 24.39 |
+------------------+-------+-------+
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.91 | 24.72 | 41.69 |
+-------+-------+-------+
[2026-02-23 16:16:27 CLIP_DINOiser] (feature_experiment_pipeline.py 348): INFO Results saved to noise_pca/mixed.json
[2026-02-23 16:20:29 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='high'
[2026-02-23 16:35:28 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'high', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:38:57 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:45:23 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:45:23 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.87 |  13.5 |
|     bicycle      | 53.91 |  83.9 |
|       car        | 43.03 | 75.71 |
|    motorcycle    | 67.74 | 87.15 |
|     airplane     | 41.17 | 90.34 |
|       bus        | 62.65 | 83.77 |
|      train       | 53.82 | 68.23 |
|      truck       | 37.69 | 47.27 |
|       boat       | 32.39 | 80.46 |
|  traffic light   | 19.54 | 71.46 |
|   fire hydrant   | 54.43 | 81.09 |
|    stop sign     | 60.09 | 91.06 |
|  parking meter   | 26.79 | 35.32 |
|      bench       |  36.0 | 46.14 |
|       bird       | 55.83 | 87.47 |
|       cat        | 69.77 | 87.87 |
|       dog        | 61.26 | 80.81 |
|      horse       |  61.8 | 85.46 |
|      sheep       | 74.33 | 88.76 |
|       cow        | 65.88 | 81.91 |
|     elephant     | 81.07 | 91.98 |
|       bear       | 79.51 | 89.42 |
|      zebra       | 79.84 | 92.22 |
|     giraffe      | 48.73 | 88.06 |
|     backpack     |  8.16 | 57.18 |
|     umbrella     | 34.34 | 69.98 |
|     handbag      | 10.17 | 13.79 |
|       tie        |  1.07 | 52.56 |
|     suitcase     | 46.76 | 53.21 |
|     frisbee      | 14.19 | 54.12 |
|       skis       |  8.5  | 63.91 |
|    snowboard     | 14.47 | 65.77 |
|   sports ball    |  2.58 |  61.5 |
|       kite       | 28.99 | 53.11 |
