[2026-02-28 14:59:29 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='low'
[2026-02-28 15:03:18 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 10 images. Selectoin meta: {'seed': 0, 'feature_name': 'small_ratio', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 10, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 10, 'high': 10, 'mixed': 10, 'train': 10}}
[2026-02-28 15:03:34 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.79 |  14.4 |
|     bicycle      |  51.6 | 82.17 |
|       car        | 41.47 | 72.89 |
|    motorcycle    | 63.46 | 88.95 |
|     airplane     | 39.82 | 90.63 |
|       bus        |  61.2 | 86.92 |
|      train       | 53.59 | 74.67 |
|      truck       | 40.22 | 49.75 |
|       boat       | 31.42 | 82.35 |
|  traffic light   | 19.93 | 59.06 |
|   fire hydrant   | 58.04 | 81.26 |
|    stop sign     | 62.53 | 88.17 |
|  parking meter   | 29.52 |  33.5 |
|      bench       | 33.99 | 41.57 |
|       bird       | 50.24 | 81.32 |
|       cat        | 66.87 | 88.87 |
|       dog        | 59.35 | 83.23 |
|      horse       | 59.02 | 88.23 |
|      sheep       | 69.91 | 92.52 |
|       cow        | 63.47 | 82.88 |
|     elephant     | 76.35 | 95.09 |
|       bear       | 76.58 | 90.68 |
|      zebra       | 73.33 | 94.77 |
|     giraffe      | 43.02 | 91.55 |
|     backpack     |  8.7  | 49.47 |
|     umbrella     | 31.15 | 67.67 |
|     handbag      |  6.44 |  8.07 |
|       tie        |  1.11 | 53.45 |
|     suitcase     | 44.48 |  52.3 |
|     frisbee      | 10.61 | 42.44 |
|       skis       |  4.98 | 39.05 |
|    snowboard     | 10.54 | 47.16 |
|   sports ball    |  2.12 | 47.48 |
|       kite       | 24.78 | 49.61 |
|   baseball bat   |  3.03 |  3.43 |
|  baseball glove  | 26.57 | 36.43 |
|    skateboard    |  16.1 | 50.96 |
|    surfboard     | 29.09 | 62.59 |
|  tennis racket   |  4.49 | 34.86 |
|      bottle      | 26.05 | 47.95 |
|    wine glass    | 32.09 | 61.97 |
|       cup        | 15.77 | 20.64 |
|       fork       |  8.33 |  8.75 |
|      knife       |  3.53 |  4.27 |
|      spoon       | 21.31 | 27.02 |
|       bowl       | 10.17 | 12.86 |
|      banana      | 29.08 |  35.8 |
|      apple       | 10.36 | 11.54 |
|     sandwich     |  9.27 |  9.73 |
|      orange      | 19.47 |  21.5 |
|     broccoli     |  3.13 |  3.25 |
|      carrot      | 17.28 | 17.77 |
|     hot dog      | 32.55 | 37.27 |
|      pizza       | 42.21 | 50.58 |
|      donut       | 47.41 | 51.44 |
|       cake       | 45.75 | 69.33 |
|      chair       |  9.6  | 10.02 |
|      couch       | 40.34 |  48.1 |
|   potted plant   |  5.58 |  6.6  |
|       bed        |  48.1 | 66.09 |
|   dining table   |  10.7 | 11.69 |
|      toilet      | 25.79 | 76.34 |
|        tv        |  27.1 |  33.3 |
|      laptop      | 44.07 |  63.3 |
|      mouse       | 21.87 | 40.85 |
|      remote      | 16.18 |  64.5 |
|     keyboard     | 37.11 | 52.21 |
|    cell phone    | 35.19 | 57.49 |
|    microwave     | 22.51 | 25.59 |
|       oven       |  24.9 | 70.87 |
|     toaster      | 25.17 | 51.54 |
|       sink       | 27.74 | 43.74 |
|   refrigerator   | 46.67 | 59.85 |
|       book       | 25.14 | 27.34 |
|      clock       |  41.9 | 78.61 |
|       vase       | 28.85 | 57.99 |
|     scissors     | 51.21 | 62.18 |
|    teddy bear    | 59.96 | 76.19 |
|    hair drier    |  3.69 | 11.27 |
|    toothbrush    | 20.99 | 41.58 |
|      banner      |  1.81 |  70.5 |
|     blanket      |  6.04 |  16.1 |
|      branch      |  7.34 | 42.13 |
|      bridge      | 17.29 | 27.15 |
|  building-other  |  28.7 |  60.2 |
|       bush       | 10.35 | 26.13 |
|     cabinet      | 23.24 |  32.1 |
|       cage       |  5.95 |  6.72 |
|    cardboard     | 17.79 | 19.84 |
|      carpet      | 29.64 | 36.93 |
|  ceiling-other   | 24.42 |  34.5 |
|   ceiling-tile   |  5.71 | 19.01 |
|      cloth       |  0.92 |  2.47 |
|     clothes      |  3.94 | 23.64 |
|      clouds      |  29.6 | 33.07 |
|     counter      |  9.79 | 33.27 |
|     cupboard     |  2.49 |  9.54 |
|     curtain      | 25.81 | 30.14 |
|    desk-stuff    | 22.61 | 40.99 |
|       dirt       | 10.53 | 11.55 |
|    door-stuff    |  9.79 | 13.06 |
|      fence       |  24.1 | 40.31 |
|   floor-marble   |  4.42 |  6.54 |
|   floor-other    |  7.82 | 36.19 |
|   floor-stone    |  1.19 |  1.94 |
|    floor-tile    | 26.39 | 29.29 |
|    floor-wood    | 16.61 | 19.38 |
|      flower      | 28.95 | 35.48 |
|       fog        | 12.07 | 15.57 |
|    food-other    | 10.25 | 78.48 |
|      fruit       | 16.88 | 62.62 |
| furniture-other  |  5.79 | 11.59 |
|      grass       | 43.18 | 55.79 |
|      gravel      | 10.89 | 18.32 |
|   ground-other   |  2.4  | 38.87 |
|       hill       |  5.37 |  6.55 |
|      house       | 10.65 | 28.36 |
|      leaves      |  6.02 |  7.2  |
|      light       |  3.58 | 19.04 |
|       mat        |  0.55 |  2.48 |
|      metal       |  3.29 |  3.73 |
|   mirror-stuff   |  5.89 |  6.74 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 32.53 | 53.72 |
|       mud        |  0.29 |  0.78 |
|      napkin      |  8.46 | 31.16 |
|       net        | 10.56 | 27.31 |
|      paper       | 13.46 | 23.97 |
|     pavement     |  29.1 | 45.71 |
|      pillow      |  2.81 |  8.38 |
|   plant-other    |  5.99 |  8.58 |
|     plastic      |  2.63 |  2.73 |
|     platform     |  9.0  | 14.82 |
|   playingfield   |  0.13 |  0.13 |
|     railing      |  2.41 |  5.93 |
|     railroad     | 30.55 | 78.84 |
|      river       | 38.32 | 56.72 |
|       road       | 28.05 | 35.52 |
|       rock       | 30.18 | 41.86 |
|       roof       |  4.57 | 24.46 |
|       rug        | 16.48 | 19.54 |
|      salad       | 15.61 | 30.09 |
|       sand       | 39.52 | 48.74 |
|       sea        | 49.67 | 62.35 |
|      shelf       |  7.99 |  8.97 |
|    sky-other     | 42.48 | 49.86 |
|    skyscraper    |  22.4 | 36.26 |
|       snow       | 63.89 | 90.19 |
|   solid-other    |  0.07 |  0.36 |
|      stairs      |  6.72 |  9.59 |
|      stone       |  8.53 | 12.99 |
|      straw       | 16.21 | 19.97 |
| structural-other |  0.13 |  0.23 |
|      table       |  5.33 |  7.17 |
|       tent       |  5.68 | 10.89 |
|  textile-other   |  4.84 |  6.94 |
|      towel       | 10.07 | 38.32 |
|       tree       | 25.43 | 27.04 |
|    vegetable     | 17.25 | 46.11 |
|    wall-brick    | 27.34 | 34.89 |
|  wall-concrete   |  2.85 |  2.91 |
|    wall-other    |  5.88 | 10.62 |
|    wall-panel    |  1.75 |  2.13 |
|    wall-stone    | 22.63 | 31.22 |
|    wall-tile     | 34.88 | 57.43 |
|    wall-wood     |  8.72 |  9.29 |
|   water-other    | 15.77 | 54.65 |
|    waterdrops    |  0.01 |  0.06 |
|   window-blind   | 28.81 | 33.78 |
|   window-other   |  24.1 | 44.32 |
|       wood       |  6.94 | 19.45 |
+------------------+-------+-------+
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-28 15:09:32 CLIP_DINOiser] (logging.py 102): INFO 
+-------+------+-------+
|  aAcc | mIoU |  mAcc |
+-------+------+-------+
| 36.18 | 22.6 | 38.07 |
+-------+------+-------+
[2026-02-28 15:09:33 CLIP_DINOiser] (feature_experiment_pipeline.py 348): INFO Results saved to small_ratio/mixed.json
[2026-02-28 16:53:25 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='high'
[2026-02-28 17:32:46 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='high'
[2026-02-28 17:35:01 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='high'
[2026-02-28 17:35:31 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=10, strategy='mixed'
[2026-02-28 17:39:11 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 10 images. Selectoin meta: {'seed': 0, 'feature_name': 'small_ratio', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 10, 'subset_strategy': 'high', 'counts': {'pool': 20000, 'low': 10, 'high': 10, 'mixed': 10, 'train': 10}}
[2026-02-28 17:40:00 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='small_ratio', pool=20000, tier=1000, strategy='high'
[2026-02-28 17:44:03 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'small_ratio', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'high', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-28 17:46:13 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-28 17:52:07 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-28 17:52:07 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.02 | 13.72 |
|     bicycle      | 53.36 | 83.86 |
|       car        | 42.88 | 74.51 |
|    motorcycle    | 66.75 |  88.9 |
|     airplane     | 40.07 | 91.03 |
|       bus        | 63.15 | 84.38 |
|      train       | 55.01 | 70.52 |
|      truck       | 38.25 |  47.5 |
|       boat       | 32.67 | 80.18 |
|  traffic light   | 20.49 | 70.68 |
|   fire hydrant   | 54.87 | 82.91 |
|    stop sign     | 61.36 | 91.09 |
|  parking meter   |  27.6 | 36.07 |
|      bench       | 35.86 | 46.26 |
|       bird       | 56.42 | 87.22 |
|       cat        | 70.03 | 88.32 |
|       dog        | 61.67 | 82.42 |
|      horse       | 61.42 | 86.91 |
|      sheep       | 73.07 | 89.51 |
|       cow        | 64.86 | 82.62 |
|     elephant     | 80.44 | 93.09 |
|       bear       | 79.41 | 90.73 |
|      zebra       | 77.92 | 93.47 |
|     giraffe      | 48.13 | 89.39 |
|     backpack     |  8.05 | 57.17 |
|     umbrella     | 33.36 | 70.39 |
|     handbag      |  9.7  | 13.14 |
|       tie        |  1.1  | 54.34 |
|     suitcase     |  47.3 | 54.35 |
|     frisbee      | 13.28 | 49.74 |
|       skis       |  8.35 | 59.86 |
|    snowboard     | 14.21 | 62.71 |
|   sports ball    |  2.42 | 59.41 |
|       kite       |  29.8 | 52.68 |
|   baseball bat   |  4.69 |  8.86 |
|  baseball glove  | 22.44 |  47.0 |
|    skateboard    | 18.43 | 54.66 |
|    surfboard     | 26.79 | 73.84 |
|  tennis racket   |  6.89 | 48.89 |
|      bottle      | 24.61 | 53.81 |
|    wine glass    | 30.45 | 73.07 |
|       cup        |  17.3 | 24.59 |
|       fork       | 14.85 | 16.58 |
|      knife       |  5.64 |  7.64 |
|      spoon       | 18.76 | 33.19 |
|       bowl       | 12.55 | 16.45 |
|      banana      | 36.52 | 46.18 |
