[2026-02-05 14:57:21 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:39 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 14:58:55 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:01:59 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:02:06 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:01 CLIP_DINOiser] (train.py 151): INFO Running CLIP-DINOiser training
[2026-02-05 15:04:08 CLIP_DINOiser] (train.py 177): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-05 15:04:51 CLIP_DINOiser] (train.py 181): INFO Training finished. Running evaluation...
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.95 | 13.52 |
|     bicycle      | 52.91 | 81.67 |
|       car        | 42.69 | 73.69 |
|    motorcycle    | 65.97 | 88.41 |
|     airplane     | 40.24 | 91.22 |
|       bus        |  62.4 | 86.46 |
|      train       | 56.08 | 77.33 |
|      truck       | 40.39 | 49.88 |
|       boat       | 32.79 | 83.25 |
|  traffic light   | 19.88 | 63.41 |
|   fire hydrant   | 57.26 | 82.87 |
|    stop sign     | 61.84 |  89.9 |
|  parking meter   | 29.22 | 34.98 |
|      bench       | 35.95 | 44.62 |
|       bird       | 55.09 | 86.73 |
|       cat        | 70.78 | 86.96 |
|       dog        | 61.49 | 80.01 |
|      horse       | 62.05 | 87.24 |
|      sheep       | 74.21 | 89.16 |
|       cow        | 65.92 | 81.92 |
|     elephant     | 80.36 | 93.91 |
|       bear       | 79.27 | 88.76 |
|      zebra       | 79.25 |  93.4 |
|     giraffe      | 48.63 | 89.44 |
|     backpack     |  8.02 | 53.79 |
|     umbrella     | 33.68 | 69.19 |
|     handbag      |  7.42 |  9.5  |
|       tie        |  1.23 | 59.11 |
|     suitcase     | 46.45 | 53.16 |
|     frisbee      | 12.83 | 48.78 |
|       skis       |  6.78 | 44.12 |
|    snowboard     | 12.87 | 55.33 |
|   sports ball    |  2.38 | 53.83 |
|       kite       | 26.09 | 51.94 |
|   baseball bat   |  4.36 |  5.53 |
|  baseball glove  | 24.39 | 44.82 |
|    skateboard    | 16.79 | 51.61 |
|    surfboard     |  31.3 | 69.34 |
|  tennis racket   |  6.02 | 42.99 |
|      bottle      | 26.01 | 51.02 |
|    wine glass    | 31.83 | 66.57 |
|       cup        | 16.93 | 22.82 |
|       fork       |  7.94 |  8.48 |
|      knife       |  4.43 |  5.46 |
|      spoon       | 21.31 | 28.08 |
|       bowl       | 10.81 | 13.65 |
|      banana      | 31.32 | 38.71 |
|      apple       | 10.51 | 11.58 |
|     sandwich     | 10.43 | 11.01 |
|      orange      | 20.83 | 23.35 |
|     broccoli     |  3.7  |  3.86 |
|      carrot      | 18.25 | 18.66 |
|     hot dog      |  32.5 | 37.28 |
|      pizza       | 42.59 | 51.03 |
|      donut       |  47.6 | 51.56 |
|       cake       | 46.56 | 69.71 |
|      chair       | 13.32 | 14.16 |
|      couch       | 45.42 | 55.49 |
|   potted plant   |  7.66 |  9.33 |
|       bed        |  50.2 | 65.24 |
|   dining table   | 11.28 | 12.31 |
|      toilet      |  26.4 | 76.37 |
|        tv        | 27.17 | 34.08 |
|      laptop      | 44.09 |  64.4 |
|      mouse       | 18.99 | 36.11 |
|      remote      | 15.51 | 64.68 |
|     keyboard     | 36.18 | 53.02 |
|    cell phone    | 33.85 | 57.57 |
|    microwave     | 22.47 | 26.83 |
|       oven       | 24.31 | 70.25 |
|     toaster      | 23.86 | 51.73 |
|       sink       | 29.74 | 47.89 |
|   refrigerator   | 46.77 |  59.9 |
|       book       | 26.97 | 30.16 |
|      clock       |  42.2 | 80.62 |
|       vase       | 29.87 | 55.78 |
|     scissors     |  51.3 | 61.49 |
|    teddy bear    | 61.95 | 73.39 |
|    hair drier    |  1.77 | 12.54 |
|    toothbrush    | 27.11 | 54.35 |
|      banner      |  1.88 | 73.38 |
|     blanket      |  5.71 |  16.6 |
|      branch      |  6.4  |  41.1 |
|      bridge      | 18.97 | 30.54 |
|  building-other  | 29.42 | 60.74 |
|       bush       | 11.27 | 30.05 |
|     cabinet      |  23.4 | 32.77 |
|       cage       |  5.65 |  6.53 |
|    cardboard     | 20.63 | 23.25 |
|      carpet      | 38.71 | 49.92 |
|  ceiling-other   | 24.36 | 35.12 |
|   ceiling-tile   |  6.71 | 20.14 |
|      cloth       |  0.51 |  1.58 |
|     clothes      |  3.94 | 27.26 |
|      clouds      | 29.48 | 33.03 |
|     counter      |  9.88 | 31.42 |
|     cupboard     |  1.72 |  7.4  |
|     curtain      | 28.94 | 34.39 |
|    desk-stuff    | 23.21 |  39.7 |
|       dirt       | 12.53 | 14.14 |
|    door-stuff    |  9.45 | 13.05 |
|      fence       | 25.03 | 44.77 |
|   floor-marble   |  4.65 |  6.92 |
|   floor-other    |  8.58 | 38.22 |
|   floor-stone    |  1.5  |  2.52 |
|    floor-tile    | 31.18 | 35.64 |
|    floor-wood    | 18.21 | 21.43 |
|      flower      | 31.58 | 40.28 |
|       fog        | 10.49 | 13.57 |
|    food-other    | 10.78 | 77.24 |
|      fruit       | 17.27 | 64.06 |
| furniture-other  |  5.77 |  9.8  |
|      grass       | 47.62 | 60.46 |
|      gravel      | 12.29 | 22.16 |
|   ground-other   |  2.6  | 35.62 |
|       hill       |  5.42 |  6.6  |
|      house       | 10.16 | 29.37 |
|      leaves      |  7.4  |  8.94 |
|      light       |  3.83 |  23.3 |
|       mat        |  0.55 |  2.69 |
|      metal       |  3.5  |  3.97 |
|   mirror-stuff   |  5.63 |  6.46 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 33.52 | 56.69 |
|       mud        |  0.13 |  0.38 |
|      napkin      |  8.59 | 34.21 |
|       net        |  9.44 | 24.78 |
|      paper       | 13.67 | 25.29 |
|     pavement     | 31.45 | 48.43 |
|      pillow      |  3.82 | 11.77 |
|   plant-other    |  5.35 |  7.62 |
|     plastic      |  2.79 |  2.91 |
|     platform     |  6.73 | 10.44 |
|   playingfield   |  0.12 |  0.12 |
|     railing      |  2.67 |  7.05 |
|     railroad     | 36.12 | 79.06 |
|      river       | 39.78 | 58.81 |
|       road       | 30.28 | 38.08 |
|       rock       | 30.57 | 42.83 |
|       roof       |  4.51 | 25.69 |
|       rug        | 18.58 | 23.27 |
|      salad       | 14.12 | 29.17 |
|       sand       | 41.06 | 50.25 |
|       sea        | 49.99 | 63.33 |
|      shelf       |  9.19 | 10.43 |
|    sky-other     | 43.07 | 52.03 |
|    skyscraper    | 22.29 | 38.26 |
|       snow       | 67.79 | 89.28 |
|   solid-other    |  0.09 |  0.46 |
|      stairs      |  7.28 | 11.31 |
|      stone       |  7.75 | 12.11 |
|      straw       | 15.81 | 20.39 |
| structural-other |  0.24 |  0.47 |
|      table       |  5.71 |  7.7  |
|       tent       |  5.84 | 11.57 |
|  textile-other   |  4.77 |  6.95 |
|      towel       |  10.1 | 39.94 |
|       tree       | 29.35 | 31.73 |
|    vegetable     | 16.93 | 46.68 |
|    wall-brick    | 27.07 | 35.62 |
|  wall-concrete   |  2.86 |  2.92 |
|    wall-other    |  6.02 | 11.07 |
|    wall-panel    |  1.91 |  2.4  |
|    wall-stone    | 23.41 | 33.04 |
|    wall-tile     | 35.35 | 58.58 |
|    wall-wood     |  9.58 | 10.28 |
|   water-other    | 16.01 | 52.92 |
|    waterdrops    |  0.01 |  0.11 |
|   window-blind   | 29.03 | 34.85 |
|   window-other   | 24.51 | 45.32 |
|       wood       |  7.02 | 20.69 |
+------------------+-------+-------+
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-05 15:09:55 CLIP_DINOiser] (logging.py 102): INFO 
+-------+------+-------+
|  aAcc | mIoU |  mAcc |
+-------+------+-------+
| 37.34 | 23.5 | 39.39 |
+-------+------+-------+
[2026-02-05 15:09:55 CLIP_DINOiser] (train.py 112): INFO {'val/coco_stuff_miou': 23.5}
[2026-02-06 16:24:44 CLIP_DINOiser] (train.py 198): INFO Running CLIP-DINOiser training on COCO-Stuff Dataset
[2026-02-06 16:24:52 CLIP_DINOiser] (train.py 248): INFO RANK and WORLD_SIZE in environ: 0/1
[2026-02-06 16:25:35 CLIP_DINOiser] (train.py 252): INFO Training finished. Running evaluation...
[2026-02-06 16:30:42 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-06 16:30:42 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.84 | 13.46 |
|     bicycle      | 53.29 | 83.16 |
|       car        |  43.2 | 74.35 |
|    motorcycle    | 67.16 | 88.24 |
|     airplane     | 41.84 | 89.04 |
|       bus        | 63.21 | 84.16 |
|      train       | 55.27 | 70.37 |
|      truck       | 38.03 | 47.38 |
